FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
追加・参照・更新・削除を総称して何と呼ぶか？英４文字,"CRUD
Create 追加：データを整理して保存したい。
Read 参照：必要なデータを参照または抽出したい。
Update 更新：データの変化に応じて好きなときに更新したい。
Delete 削除：必要ないデータを削除したい",common,ja-JP,ja-JP
データベースのトランザクションにおいて、データの信頼性を保証するために必要な4つの特性（原子性・一貫性・独立性・永続性）の総称は何ですか？英４文字,ACID特性,common,ja-JP,ja-JP
データベース（RDSなど）を最初に作成したときに設定する、**「そのデータベースにおける最強の権限を持つ管理者アカウント」**のパスワードは何パスワードと呼ばれるか？Linuxでいう「rootユーザー」、Windowsでいう「Administrator」に相当する特権アカウントです。このパスワードを使えば、データベース内で以下のすべての操作が可能です。他の一般ユーザーの作成・削除・権限変更。新しいデータベース（スキーマ）の作成。すべてのテーブルの閲覧・変更・削除。データベースの各種設定変更,マスターパスワード,common,ja-JP,ja-JP
RDS のマスターユーザーパスワードを自動ローテーションしするソリューションは？,Secrets Manager：Secrets Manager は RDS との強力な統合機能を持っている,common,ja-JP,ja-JP
サーバーレスで高いスケーラビリティを持ち、ミリ秒単位の応答を返す完全マネージドなNoSQLデータベースは何ですか？,DynamoDB,DynamoDB,ja-JP,ja-JP
データの増大に合わせて、データを分割して**「物理的に異なるサーバー」**へ配置する仕組みを何と呼びますか？,シャーディング: データを切り分けて（パーティショニング）、別々の箱に配る（シャーディング）」というイメージです。,DynamoDB,ja-JP,ja-JP
DynamoDBテーブルへのデータの追加、変更、削除などの変更履歴を、時系列で最大24時間保存する機能は何ですか？,DynamoDB ストリーム,DynamoDB,ja-JP,ja-JP
トラフィックの変化に応じて、スループット容量（RCU/WCU）を自動的に調整してコストを最適化する機能は何ですか？,DynamoDB Auto Scaling,DynamoDB,ja-JP,ja-JP
別のキャッシュサーバーの集まり＝クラスターを隣に並べて設置することで、読み込みのパフォーマンスをミリ秒からマイクロ秒まで高速化する、インメモリキャッシュサービスは何ですか？,DynamoDB Accelerator (DAX),DynamoDB,ja-JP,ja-JP
Amazon DynamoDBテーブルのパフォーマンスを向上させるため、Amazon DynamoDB Accelerator（DAX）クラスターを追加したキャッシュ処理を実装しました。デフォルトでは保管キャッシュデータは暗号化されていません。もし暗号化する必要がでてきたら、どうやって暗号化を有効にするか？,既存のDAXクラスターを削除し、暗号化を有効に設定した新しいクラスターを作成し直す。「後から変更不可」AWSは「設定を変えたければ、新しい完璧な環境を隣に作り、そちらへデータを移して古い方を捨てる」という、より安全で確実な手法（作り直し）を強制しています。,DynamoDB,ja-JP,ja-JP
複数のAWSリージョンにまたがってデータを自動的にレプリケートし、マルチアクティブな構成を実現する機能は何ですか？,グローバルテーブル,DynamoDB,ja-JP,ja-JP
DynamoDBにデータを書き込むと、自動的に3つのAZ（可用性ゾーン）にデータが保存されまます。そこでは少なくとも何か所のAZへの書き込みが成功した時点で「完了」とみなされ、書き込みが成功したと言われたデータは、内部的に「最新の状態」として確実に保存されていることが保証されます。何か所のAZに書き込み成功した時点で完了とみなされるのか？,2か所,DynamoDB,ja-JP,ja-JP
書き込みが「確実」に行われていても、読み取る側が「どこまで厳密に探すか」を選べるのがReadのオプションです。デフォルトでは、3つのうちどれか1つのコピーからサッと読み取るのだが、書き込み直後だと、まだ更新が届いていない古いコピーを掴む可能性がある。このREADにおける整合性モデルは何整合性と呼ぶか？,結果整合性,DynamoDB,ja-JP,ja-JP
書き込みが完了した直後に、どのクライアントから読み取っても必ず最新のデータが返ることを保証するモデルは？Write（書き込み）: 常に厳格。選択肢なし。,強い整合性 (Strong Consistency),DynamoDB,ja-JP,ja-JP
更新直後に一時的に古いデータが返る可能性があるが、最終的には全てのコピーが最新状態に同期されるモデルは？,結果整合性 (Eventual Consistency)：「（書き込み直後はバラバラでも）最終的な結果としては、いずれどこでも同じデータに整合**するから」,DynamoDB,ja-JP,ja-JP
DynamoDBの書き込み（Write）において、データの整合性モードを選択することは可能か？,不可能（選択肢なし）,DynamoDB,ja-JP,ja-JP
DynamoDBの読み取り（Read）において、最新の値を確実に取得するために指定するオプションは？,強力な整合性のある読み取り (Strongly Consistent Read),DynamoDB,ja-JP,ja-JP
DynamoDBの読み取り（Read）において、デフォルトの整合性モードは？,結果整合性モデル：最新の書き込み結果が即時読み取り処理に反映されない可能性がある,DynamoDB,ja-JP,ja-JP
DynamoDBの読み取りにおいて、強い整合性を指定した場合に消費が増える（AWSに支払う料金の『計算の元』となるポイントを、より多く使ってしまう）コストの単位は？,RCU (読み取り容量単位)：Read Capacity Unit,DynamoDB,ja-JP,ja-JP
DynamoDBの２つのキャパシティモードを何か？,"プロビジョンドモード: 読み書きの容量（RCU/WCU）をあらかじめ設定するモード。
オンデマンドモード: リクエスト数に応じて自動でスケールし、使った分だけ支払うモード。",DynamoDB,ja-JP,ja-JP
DynamoDBの、負荷が予測不能、または急激なスパイクがある場合に適していて、リクエストに応じて自動でスケールするキャパシティモードは何か？,オンデマンド,DynamoDB,ja-JP,ja-JP
DynamoDBの、負荷が一定、または予測可能な場合に、コスト効率をよくするために選択すべきキャパシティモードは何か？,プロビジョンド,DynamoDB,ja-JP,ja-JP
クロスリージョンレプリケーションできるDBサービスを３つ。,Aurora 、DynamoDB、RDS,DynamoDB,ja-JP,ja-JP
Aurora 、DynamoDB、RDSは、デフォルトでクロスリージョンレプリケーションになっているか？,なっていない。いずれのサービスも、デフォルトでは単一リージョンです。**明示的に設定（有効化）**しない限り、クロスリージョンレプリケーションは行われません。,DynamoDB,ja-JP,ja-JP
DynamoDBで、クロスリージョンレプリケーションするために、必須で有効化しなければならない機能は何か？高速処理するために窓口ごとにある記入帳簿のこと,DynamoDB Streams：チャットアプリや在庫管理を想像してみてください。Aさんが「こんにちは」と送った（挿入）。Aさんが「こんばんは」に書き換えた（修正）。もし、この順番がバラバラに遠隔地へ届くと、データが壊れてしまいます。DynamoDB Streamsは、項目ごとの変更順序を厳密に守って記録する性質を持っているため、遠くのリージョンでも「正しい順番」で再現ができるのです。,DynamoDB,ja-JP,ja-JP
DynamoDBで、テーブルデータの追加・変更・削除の変更履歴を最大24時間保存し、Lambda等の実行トリガーとして利用できる機能は何ですか？,DynamoDB Streams,DynamoDB,ja-JP,ja-JP
DynamoDBでクロスリージョンレプリケーション（グローバルテーブル）を行うために必須の機能は？グローバルテーブルの裏側ではStreamsが変更履歴を転送しています。,DynamoDB Streams,DynamoDB,ja-JP,ja-JP
DynamoDB Streamsに保存されたデータ変更ログの保持期間は？保持期間は固定で、変更できません。,24時間,DynamoDB,ja-JP,ja-JP
DynamoDB Streamsで「順序」が厳密に保証される単位は？同じ項目への変更は順番通りですが、異なる項目間では前後します。,ハッシュキー（パーティションキー）単位,DynamoDB,ja-JP,ja-JP
「操作が実施された順番通りに必ず実行される」という説明が不適切な理由は？「必ず」という全体順序の保証はDynamoDBにはありません。,ハッシュキーが異なる場合、別のシャードで並列処理され、実行順序が前後する可能性があるから。,DynamoDB,ja-JP,ja-JP
DynamoDB Streamsの主な連携先（トリガー先）として最も一般的なサービスは？データの変更を検知して、リアルタイムで別の処理（通知や集計）を起動します。,AWS Lambda,DynamoDB,ja-JP,ja-JP
特定のハッシュキーにアクセスが集中し、パフォーマンスが低下する現象を何と呼ぶ？ハッシュキーを分散させることが、スケーラビリティを保つコツです。,ホットパーティション、ホットキー,DynamoDB,ja-JP,ja-JP
DynamoDB Streamsで取得できる「表示タイプ（View Type）」の4種類は？何をログに残すかを選択できます。,"KEYS_ONLY        項目のキー属性（パーティションキー等）のみ        「最小限の負荷」「詳細は後で読みに行く」
NEW_IMAGE        変更後の項目全体        「最新状態の同期」「新規登録の通知」
OLD_IMAGE        変更前の項目全体        「削除データのアーカイブ」「履歴保存」
NEW_AND_OLD_IMAGES        変更前と後の両方の項目全体        「値の比較」「更新前後の差分計算」",DynamoDB,ja-JP,ja-JP
DynamoDB Streams「表示タイプ（View Type）」のシーン別選択問題。「データの変更前と変更後の数値を比較して、差分を計算したい」,NEW_AND_OLD_IMAGES：これが一番よく出ます。「在庫がいくつ減ったか」「価格がいくら上がったか」という計算には両方のデータが必要です。,DynamoDB,ja-JP,ja-JP
DynamoDB Streams「表示タイプ（View Type）」のシーン別選択問題。「新しいデータが追加されたら、その内容をメールで送りたい」,NEW_IMAGE：追加された内容そのものが必要なので「新イメージ」が必要です。,DynamoDB,ja-JP,ja-JP
DynamoDB Streams「表示タイプ（View Type）」のシーン別選択問題。「データが削除される直前の状態をS3に保存してバックアップしたい」,OLD_IMAGE：消えてしまう「前」のデータが必要なためです。,DynamoDB,ja-JP,ja-JP
DynamoDB Streams「表示タイプ（View Type）」のシーン別選択問題。「とにかくコストや処理負荷を最小限に抑えたい。詳細はLambda側でGetItemして取得する」,KEYS_ONLY：ストリームに流れるデータ量を最小にするための選択です。,DynamoDB,ja-JP,ja-JP
テーブル全体での厳密な順序が必要な場合、Streamsの代わりに検討すべきサービスは？Kinesisはより長期の保存や、より複雑な順序制御、大量のコンシューマーに対応可能です。,Amazon Kinesis Data Streams,DynamoDB,ja-JP,ja-JP
データの保存先となる物理的なパーティションを決定するための「住所」の役割を持つキーは？,ハッシュキー（パーティションキー）,DynamoDB,ja-JP,ja-JP
同一のハッシュキーを持つアイテム同士を、特定の順序で並べ替え、範囲検索を可能にするキーは？,レンジキー（ソートキー）,DynamoDB,ja-JP,ja-JP
「同じユーザーIDのデータの中から、特定の日付範囲の履歴を抽出したい」場合、日付はどちらのキーに設定すべき？,レンジキー,DynamoDB,ja-JP,ja-JP
ハッシュキーはそのままに、基本テーブルとは別の属性をレンジキーとして範囲検索に使いたい場合に作成するインデックスは？同じクラス（ハッシュキー）の中で、出席番号（レンジキー1）順の名簿のほかに、背の順（レンジキー2）の名簿も用意しておくイメージ。複合キーテーブルにのみ設定可。複合キーによって整理されている項目に対して、パーティションキーを指定した上で、別の規則のインデックスとなりクエリ検索に利用できる。,LSI（ローカルセカンダリインデックス）,DynamoDB,ja-JP,ja-JP
後から追加・設定可能なインデックスで、基本テーブルのハッシュキーとは全く別の属性をハッシュキー（およびレンジキー）として横断検索したい場合に作成するインデックスは？元のテーブルとは全く別の「ハッシュキー」や「レンジキー」を設定して、データ全体を検索できるようにした索引（インデックス）**のことです。インデックス用に新たにパーティションキーとソートキーを指定する検索方式。ハッシュキーテーブル及び複合キーテーブルどちらにでも設定可能。ハッシュキーの代わりになるため、ハッシュキーをまたいで物理パーティションに囚われない検索が可能,GSI（グローバルセカンダリインデックス）,DynamoDB,ja-JP,ja-JP
テーブル作成後でも自由に追加・削除ができるインデックスの種類は？,GSI（グローバルセカンダリインデックス）,DynamoDB,ja-JP,ja-JP
ハッシュキー（パーティションキー）のみで構成されるプライマリキーの名称は？,シンプルPK（シンプルプライマリキー）,DynamoDB,ja-JP,ja-JP
ハッシュキーとレンジキー（ソートキー）の2つを組み合わせて構成されるキーの名称は？,複合キー（複合プライマリキー）,DynamoDB,ja-JP,ja-JP
1つのハッシュキーに対して、必ず1つのデータ（アイテム）しか存在できない構造は？,シンプルPK,DynamoDB,ja-JP,ja-JP
1つのハッシュキーの中に、複数の異なるレンジキーを持つデータを並べて保持できる構造は？,複合キー,DynamoDB,ja-JP,ja-JP
ハッシュキーはそのままに、別のレンジキーを追加して検索軸を増やすLSIが設定可能なのはどっち？,複合キー（レンジキーがあることが前提）,DynamoDB,ja-JP,ja-JP
データの「1対多（例：1人のユーザーに複数の注文履歴）」の関係を1テーブルで表現するのに適した構造は？,複合キー,DynamoDB,ja-JP,ja-JP
ハッシュキーのみのテーブルと複合キーテーブルの両方に対して、後から追加・設定可能なインデックスは？,GSI（グローバル・セカンダリ・インデックス）,DynamoDB,ja-JP,ja-JP
「ユーザーID」だけで個人プロフィールを管理する場合に一般的に採用される構造は？,シンプルPK,DynamoDB,ja-JP,ja-JP
インデックス作成において、いつでも、どのテーブルでもOKなのは何インデックス？,GSI（グローバルセカンダリインデックス）,DynamoDB,ja-JP,ja-JP
インデックス作成において、作成時のみ、複合キーのみOKの制約が多いのは何インデックス？,LSI（ローカルセカンダリインデックス）,DynamoDB,ja-JP,ja-JP
「ID100、山田、男」という情報のまとまり（1レコード）を何と呼ぶ？,項目 (Item),DynamoDB,ja-JP,ja-JP
「名前：山田」のように、項目に含まれる最小単位のデータ要素を何と呼ぶ？,属性 (Attribute),DynamoDB,ja-JP,ja-JP
項目を特定するために必須となる、ID100のような特別な属性は？,プライマリキー,DynamoDB,ja-JP,ja-JP
後から「血液型：A」という情報を足したい場合、何を増やしたことになる？,属性 (Attribute),DynamoDB,ja-JP,ja-JP
"DynamoDBの設定手順を次から取捨選択して並べろ
DB作成。テーブル作成。属性（列の名前）。項目（データ1行分）。",テーブル作成→項目→属性：概念（箱の大きさ）としては テーブル ＞ 項目 ＞ 属性：なぜ「DB作成」は含まれないのか？DynamoDBはフルマネージドなサーバーレスサービスです。AWSが裏側で巨大なデータベース基盤をすでに管理しているため、ユーザーが「データベース（インスタンス）を作成する」という作業は存在しません。いきなり「テーブル」を作ることからスタートします。,DynamoDB,ja-JP,ja-JP
"虫食い：東京リージョンに存在するDynamoDBテーブルのデータ処理がシンガポールリージョンにも自動的に複製される設定方法。
①東京リージョン内のDynamoDBテーブルの＃＃＃＃＃を有効化する。これにより、東京リージョンのDynamoDBテーブルにおけるデータの更新が発生した際に、シンガポールリージョンのDynamoDBテーブルへと自動的にレプリケーションされます。
②DynamoDB Streamsを利用してテーブルを作成するように＃＃＃＃＃＃を設定して、レプリカの展開先としてシンガポールリージョンを指定することで、シンガポールリージョンにDynamoDBテーブルのレプリカが展開されます。このレプリカに対しては、自動的にレプリケーションが実行されます。","DynamoDB Streamsを有効にする
グローバルテーブル",DynamoDB,ja-JP,ja-JP
DynamoDB から Lambda を起動する（推奨・標準機能）と気に使う、DynamoDBの機能は何？データ変更（追加・更新・削除）をリアルタイムで検知し、Lambdaを自動起動できます。, 「DynamoDB Streams」 ,DynamoDB,ja-JP,ja-JP
DynamoDBカラ直でSNSに送れるか？,送れない：必ず間に**「DynamoDB Streams」と「AWS Lambda」**を挟む必要があります。これがSAA試験でも非常に重要な「定番のアーキテクチャ」です。DynamoDBはデータを保存する「データベース」であり、データの変更を検知して外部へ通知する「プッシュ機能」自体は持っていないからです。そのため、変更を検知する**「センサー」と、実際にSNSへ投げる「実行役」**が必要になります。,DynamoDB,ja-JP,ja-JP
標準的なMySQLやPostgreSQLと比較して数倍のパフォーマンスを持ち、3つのAZに6つのコピーを保持するAWS独自のデータベースは何ですか？,Aurora,Aurora,ja-JP,ja-JP
1つのプライマリインスタンス（書き込み用）と最大15個のリーダー（読み取り用）で構成される、共有ストレージをベースとした運用単位は何ですか？特に Amazon Aurora において、書き込みを行う「プライマリインスタンス」と、読み取り専用の「Aurora レプリカ（リーダー）」、そしてそれらが共有する「仮想ストレージボリューム」をひとまとめにした運用単位を指します。,DBクラスタ,Aurora,ja-JP,ja-JP
Auroraのアプリケーションの書き込み停止時間を最小限にするため、複数のインスタンスが同時に読み書き可能な高可用性構成は何ですか？「マスター（書き込み用）が 1 台、あとは控え（読み取り用）」という従来の形とは異なり、全インスタンスがマスターです。1 台が故障しても、他のインスタンスへ即座に書き込みを継続できるため、フェイルオーバーによる「書き込み停止時間」がほぼゼロになります。全てのマスターインスタンスが、背後にある 1 つの「共有クラスターボリューム」に対して直接書き込みを行います。データが 3 つの AZ にまたがって保存されている点は通常の Aurora と同じです。,Aurora マルチマスター,Aurora,ja-JP,ja-JP
Suroraの予測不可能なトラフィックに対し、DB容量を自動でスケールアップ/ダウンさせ、利用しない時は一時停止してコストを抑えられる仕様は何ですか？「予測不可能なトラフィックへの自動対応」と「利用しない時の一時停止（※v1の機能）」は、サーバーレスデータベースの最大の特徴です。,Aurora サーバーレス (v2),Aurora,ja-JP,ja-JP
Auroraの1秒未満の低レイテンシーでデータを世界中のリージョンにレプリケートし、リージョン全体の障害に対する災害復旧（DR）を実現する機能は何ですか？単一リージョン内での冗長性（マルチAZ）を超えて、世界規模でデータを同期し、リージョン全体がダウンするような大規模災害にも対応するための強力な機能です。,Aurora グローバルデータベース,Aurora,ja-JP,ja-JP
標準的なMySQLと比較して、最大何倍のパフォーマンスを発揮するとされていますか？,5倍,Aurora,ja-JP,ja-JP
標準的なPostgreSQLと比較して、最大何倍のパフォーマンスを発揮するとされていますか？,3倍,Aurora,ja-JP,ja-JP
表側の攻め（高速化・可用性）のために、読み取り処理の分散（高速化）と、故障時の待機（バックアップ）を実現し、最大台数15台まで追加可能で、自身でデータを持たず、「6つのコピー」がある共有ボリュームを全員で見ることができる、コピーされた読み込み専用サーバーは何と呼ばれる？,リードレプリカ,Aurora,ja-JP,ja-JP
読み取りサーバーの最大数は？,15台,Aurora,ja-JP,ja-JP
