FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
Route53は権威DNSサーバーの機能をマネージド型で簡単に利用できるサービスで、世界中のユーザーを最も低遅延なエンドポイントへ自動誘導し、障害時には即座に予備系へ切り替える高可用なDNSサービスは何ですか？Key：エイリアスレコード（Zone Apex可）、レイテンシールーティング、ヘルスチェック、フェイルオーバー、ハイブリッドDNS（Resolver）, Route 53, Route53,ja-JP,ja-JP
特定のドメイン（例：example.com）とそのサブドメインのトラフィックをどのようにルーティングするかを定義するDNSレコードのコンテナは何ですか？,ホストゾーン (Hosted Zone), Route53,ja-JP,ja-JP
メインドメインのプレフィックスとして追加され、開発環境や本番環境などを論理的に区別するために使用されるDNSの階層は何ですか？,サブドメイン (Subdomain), Route53,ja-JP,ja-JP
①システムの役割を分けたい時、www.example.comはWebサイト、api.example.comはAPIサーバー、admin.example.comは管理画面、また② 環境を分離したい時（開発 / 検証 / 本番）、dev.example.com、stg.example.com、example.com（本番）、また③ 完全に別サービスとして扱いたい時、④ セキュリティ境界を分けたい時（重要）に、自由に作成できるドメインは何ドメインか？,サブドメイン (Subdomain), Route53,ja-JP,ja-JP
DNSのZone Apex（ネイキッドドメイン：サブドメイン（wwwなど）が付かないルートドメインそのもの）に対して、ELBやCloudFrontなどのAWSリソースを直接マッピングできるRoute 53固有のレコードタイプは何ですか？,エイリアスレコード (Alias Record), Route53,ja-JP,ja-JP
ドメイン名に対して単一のリソース（IPアドレスなど）をマッピングする、最も基本的なルーティングは何ですか？,シンプルルーティング, Route53,ja-JP,ja-JP
指定した比率（例：9対1）に従ってトラフィックを分散させ、カナリアリリースや新版のテストに利用するルーティング方式は何ですか？,加重ルーティング, Route53,ja-JP,ja-JP
ネットワークの遅延が最も少ないリージョンのリソースへユーザーを自動的に誘導するルーティング方式は何ですか？,レイテンシールーティング, Route53,ja-JP,ja-JP
メインのリソースの異常を検知した際、自動的に待機系（セカンダリ）へ切り替えるアクティブ/パッシブ構成のルーティング方式は何ですか？,フェイルオーバールーティング, Route53,ja-JP,ja-JP
ユーザーがアクセスしている物理的な場所（国や大陸）に基づいて、最適なコンテンツを表示するルーティング方式は何ですか？,位置情報ルーティング, Route53,ja-JP,ja-JP
リソースの地理的場所に基づき、バイアス値（偏り）を設定してトラフィックの境界線を柔軟に調整するルーティング方式は何ですか？,近接地域ルーティング, Route53,ja-JP,ja-JP
最大8つの正常なIPアドレスをランダムに返し、DNSレベルで簡易的な負荷分散とヘルスチェックを行うルーティング方式は何ですか？,複数値回答ルーティング, Route53,ja-JP,ja-JP
プライマリリソースの異常を検知した際、自動的に予備のスタンバイリソースへトラフィックを切り替えて可用性を維持する仕組みは何ですか？,フェイルオーバー (Failover), Route53,ja-JP,ja-JP
クライアントのIPアドレス範囲（CIDR）に基づいて、最適なエンドポイントへトラフィックをルーティングする機能は何ですか？,IPベースルーティング, Route53,ja-JP,ja-JP
複数のルーティングポリシーを組み合わせた複雑な構成を視覚的なエディタで作成し、バージョニング管理ができる機能は何ですか？,トラフィックフロー (Traffic Flow), Route53,ja-JP,ja-JP
DNSサーバーがレコードの情報をキャッシュに保持する時間を秒単位で指定し、変更の反映速度やクエリ頻度を制御する値は何ですか？,TTL (Time To Live), Route53,ja-JP,ja-JP
