FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
「誰が（Identity）、何に（Access）、何をできるかを管理」する仕組み。英３文字。,IAM：Identity and Access Management,IAM,ja-JP,ja-JP
ユーザーなどへのアクセス権限を付与するための設定ドキュメントのこと（JSON形式の文書） ,IAMポリシー,IAM,ja-JP,ja-JP
AWSアカウント内に追加される利用ユーザー。,IAMユーザー,IAM,ja-JP,ja-JP
グループとしてまとめて権限を付与する仕組み。グループには複数のIAMユーザーが設定される,IAMユーザーグループ,IAM,ja-JP,ja-JP
AWSリソースが別のリソースに対するアクセス権限を付与する仕組み。別のAWSアカウントのIAMユーザーにアクセス権限を委譲する際にも利用,IAMロール,IAM,ja-JP,ja-JP
AWSは、「誰が（人かプログラムか）」に関わらず、権限を直接渡すのは危険だと考えました。そこで、権限は「空の着ぐるみ（ロール）」に入れて置いておく。「信頼」された者だけが、一時的にその着ぐるみを着て作業する。終わったら脱ぐ（鍵が無効になる）。という共通の安全な手順を作ったのです。このシーンで、空の着ぐるみのことを何という,IAMロール,IAM,ja-JP,ja-JP
IAMポリシーの３種類はなに？①ユーザー側で編集は不可、②ユーザー（管理者）が独自に作成・管理するポリシー。③直接埋め込まれる,AWS管理ポリシー、カスタマー管理ポリシー、インラインポリシー,IAM,ja-JP,ja-JP
「対象物に直接埋め込まれている」**というニュアンスで使われる英語。「その場限り」: ポリシーがIAMユーザーやロールという「行（対象）」の中に直接書き込まれています。管理ポリシーは、図書館にある『貸出可能な本（誰でも借りて読める）』」、「何々ポリシーは、その人の体に彫られた『タトゥー（その人専用で、バラバラにできない）,インライン：In（の中に） + Line（列・行）もともとは印刷やタイポグラフィの用語で、文章の流れ（行）の中に図像や特別な文字をそのまま配置することを指しました。,IAM,ja-JP,ja-JP
AWSが作成および管理しているIAM管理ポリシーで、既にAWSが設定しているポリシーがリスト化されており、適時ユーザーやロールに適用できるIAMポリシーは何ポリシーと呼ぶか。AWSが用意した、使い回せるテンプレ。,AWS管理ポリシ,IAM,ja-JP,ja-JP
AWSアカウントで作成・管理する管理ポリシーで、同じポリシーを複数のIAMエンティティにアタッチできるIAMポリシーのタイプを何ポリシーと呼ぶか。自分が作った、使い回せるオリジナル権限。,カスタマー管理ポリシー,IAM,ja-JP,ja-JP
1つのプリンシパルエンティティ (ユーザー、グループ、またはロール) に埋め込まれた固有ポリシーで、プリンシパルエンティティにアタッチすることができるIAMポリシーのタイプを何ポリシーと呼ぶか。特定の誰かに直接書いた、使い回せない権限。キーワードは「埋め込み（一体化）」,インラインポリシー,IAM,ja-JP,ja-JP
リソースにアクセス許可する場合に設定する、「何ができるか」を決める、「誰がこのロールを借りれるか」をきめる、２種類のタイプのポリシーは何,"「何ができるか」を決めるための、許可ポリシー＝アイデンティティベースポリシー
「誰がこのロールを借りれるか」を決めるための、信頼ポリシー＝リソースベースポリシーの一種",IAM,ja-JP,ja-JP
IAMアイデンティティ(ユーザー、ユーザーのグループ、ロール) にアタッチされるポリシーで、そのアイデンティティが実行できる内容 (そのアクセス許可) を指定できるポリシーのタイプは何ベースのポリシー。「着ぐるみがダンスしてよいという許可ポリシー」がこれに当たります。,ユーザーベース（アイデンティティベース）のポリシー,IAM,ja-JP,ja-JP
AWSリソースにアタッチされるポリシーであり、リソースに対するアクセス権限設定を実行するもので、例えばAmazon S3のバケットポリシー、ロールの信頼ポリシーのように、JSON形式のドキュメントで定義されたインラインポリシーをリソースにアタッチして利用します。このポリシータイプは何ベースのポリシーか？「着ぐるみの外側のチャック（信頼ポリシー）」や「S3のドアの看板（バケットポリシー）」がこれに当たります。,リソースベースのポリシー,IAM,ja-JP,ja-JP
AWSリソースへのアクセス許可・拒否を設定する通常のIAMポリシーのことで、許可するアクション範囲を設定する効果は何ポリシー。このロールを借りた人が「S3を見れる」「EC2を止めれる」などの実務的な権限を決めます。特徴: Principal は無し。 Actionは s3:GetObject など様々。「着ぐるみの内ポケットに入っている指示書」,許可ポリシー：アイデンティティベースポリシー,IAM,ja-JP,ja-JP
特定のユーザーやリソースへのアクセスを許すための前提となる信頼を形成する効果は何ポリシー？このポリシーが付与されているロールに基づいて、権限を委譲することができる。特徴: Principal が必須。 Actionは sts:AssumeRole 固定。リソースベースポリシーの一種（ロールというリソースを誰に貸すか）。「着ぐるみの背中のチャック（誰が入って良いか）」の正体ですね。,信頼ポリシー,IAM,ja-JP,ja-JP
AWSは、「誰が（人かプログラムか）」に関わらず、権限を直接渡すのは危険だと考えました。そこで、権限は「空の着ぐるみ（ロール）」に入れて置いておく。「信頼」された者だけが、一時的にその着ぐるみを着て作業する。終わったら脱ぐ（鍵が無効になる）。という共通の安全な手順を作ったのです。このシーンで、空の着ぐるみがやって良いことが書かれており、その効果を出せるのは何ポリシーという,許可ポリシー：何することを許可するかってこと。空の着ぐるみが「やって良いこと」を定義し、実際にその効果（パワー）を発揮させるのは、**許可ポリシー（アイデンティティベースポリシー）**です！,IAM,ja-JP,ja-JP
AWSは、「誰が（人かプログラムか）」に関わらず、権限を直接渡すのは危険だと考えました。そこで、権限は「空の着ぐるみ（ロール）」に入れて置いておく。「信頼」された者だけが、一時的にその着ぐるみを着て作業する。終わったら脱ぐ（鍵が無効になる）。という共通の安全な手順を作ったのです。このシーンで、空の着ぐるみに入って良い人やサービスが書かれたリストによって、入れるという効果が発生するポリシーを何ポリシーという,信頼ポリシー：誰を信頼するのかってこと：「着ぐるみのチャック（入り口）」を管理する、最も重要な門番の役割ですね。,IAM,ja-JP,ja-JP
この信頼ポリシーに書かれる「許可された相手やサービス」のことを何と呼ぶ, Principal（プリンシパル）,IAM,ja-JP,ja-JP
IAMポリシー記述方法。ポリシーの本体（声明文）の開始です。[] で囲まれているので、複数の命令を並べることも可能です。何と書く。,Statement,IAM,ja-JP,ja-JP
