FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
クラウド内でサイズ変更可能なコンピューティングキャパシティを提供する仮想サーバーサービスは何か？,EC2,EBS ,ja-JP,ja-JP
汎用インスタンスタイプの語呂合わせを実現、または管理するためのAWSサービス（または機能）は何か？,ATMは汎用,EBS ,ja-JP,ja-JP
コンピューティング最適化インスタンスタイプの語呂合わせを実現、または管理するためのAWSサービス（または機能）は何か？,コンピューティングはCから始まる,EBS ,ja-JP,ja-JP
メモリ最適化インスタンスタイプの語呂合わせを実現、または管理するためのAWSサービス（または機能）は何か？,RXZ（ヤマハのバイク）は想いでメモリ最適,EBS ,ja-JP,ja-JP
ストレージ最適化インスタンスタイプの語呂合わせを実現、または管理するためのAWSサービス（または機能）は何か？,Highly Important Dataはストレージ最適,EBS ,ja-JP,ja-JP
高速コンピューティングインスタンスタイプの語呂合わせを実現、または管理するためのAWSサービス（または機能）は何か？,F1GPは高速,EBS ,ja-JP,ja-JP
AWSクラウド内に論理的に隔離されたセクションを提供し、独自の仮想ネットワークを定義できるサービスは何か？,"①VPCにインターネットゲートウェイがアタッチされていない
②パブリックIPアドレスの欠如
③SG、NACLのインバウンドルール",EBS ,ja-JP,ja-JP
①虫食い「インスタンスに何々？IP（または何々？ IP）が割り当てられていない。」を実現、または管理するためのAWSサービス（または機能）は何か？,"パブリックIPv4アドレス
Elastic IP",EBS ,ja-JP,ja-JP
EC2インスタンスレベルで動作し、インバウンドおよびアウトバウンドトラフィックを制御するステートフルなファイアウォールは何か？,セキュリティグループ、ネットワークACL,EBS ,ja-JP,ja-JP
VPCのIPアドレス範囲内のセグメントで、リソースをセキュリティ要件に基づいて隔離するために使用されるものは何か？,"パブリックサブネット
Internet Gateway",EBS ,ja-JP,ja-JP
クラウド内でサイズ変更可能なコンピューティングキャパシティを提供する仮想サーバーサービスは何か？,"① EC2 インスタンスSavings Plan：EC2に適用可能
② Compute Savings Plan：Fargate、Lambda に適用可能
（補足で③SageMaker Savings Plans）",EBS ,ja-JP,ja-JP
SavingsPlanなどとセットで利用するもので、キャパシティを事前に予約して購入形式に適用するのを、何予約と言うか。予めキャパシティを確保しておくことで実行時のキャパシティ不足エラーを抑制する。を実現、または管理するためのAWSサービス（または機能）は何か？,キャパシティ予約,EBS ,ja-JP,ja-JP
リザーブドインスタンスのキャパシティの予約方式は、指定したAZ内で1年間または3年間の間のキャパシティを予約するのは何リザーブドインスタンス？指定したリージョン内で1年間または3年間の間のキャパシティを予約するのは何リザーブドインスタンス？を実現、または管理するためのAWSサービス（または機能）は何か？,"ゾーンリザーブドインスタンス
リージョンリザーブドインスタンス",EBS ,ja-JP,ja-JP
EC2のリザーブドインスタンス（RI）には「スタンダード」と「コンバーティブル」の2種類がありますが、スタンダードは割引率が高い分、変更の自由度がかなり制限されています。リサーブドインスタンスのスタンダードでは変更できないもの４つ。語呂合わせで。を実現、または管理するためのAWSサービス（または機能）は何か？,"「STDは安いので変更機能は、オフしてる」（お・ふ・し・て）
OS、（インスタンス）ファミリー、支払オプション、テナンシー",EBS ,ja-JP,ja-JP
m5.large というインスタンスタイプがある場合、名前指しているもの意味・名称は何？m、5、largeを実現、または管理するためのAWSサービス（または機能）は何か？,"m：インスタンスファミリー。汎用（General Purpose）という「家系」
5：世代。第5世代（数字が大きいほど新しい）
large：インスタンスサイズ。CPUやメモリの「大きさ（ランク）」サイズを大きくする場合（例：t3.small 1台分を t3.medium に適用したい）持っている予約（1ポイント分）だけでは足りないため、不足分（残り1ポイント分）については通常のオンデマンド料金が発生することになります。",EBS ,ja-JP,ja-JP
予算と目的に合わせて、スポットインスタンスを『まとめ買い』して自動管理してくれる仕組みは何という。複数のEC2をまとめて運用する感じです。を実現、または管理するためのAWSサービス（または機能）は何か？,スポットフリート：fleet 海軍の艦隊,EBS ,ja-JP,ja-JP
クラウド内でサイズ変更可能なコンピューティングキャパシティを提供する仮想サーバーサービスは何か？,EC2フリート,EBS ,ja-JP,ja-JP
あらかじめ決めた目標容量（ターゲットキャパシティ）を満たすように、スポットインスタンス（およびオンデマンド）を組み合わせて自動で管理・維持してくれる」機能、仕組みを何と呼ぶか？ユーザーが「合計で10台分（または100ユニット分）のパワーが欲しい」と設定すると、指定した複数のインスタンスタイプの中から、その時々で最も安価な組み合わせを選んで起動し続けます。もしスポットインスタンスが中断（回収）されて台数が減っても、フリートが自動的に別のスポットインスタンスを探して補充し、目標の数を維持しようと動いてくれます。を実現、または管理するためのAWSサービス（または機能）は何か？,スポットフリート：fleet 海軍の艦隊,EBS ,ja-JP,ja-JP
スポットフリートの配分戦略３つ。①とにかくコスト削減を最大化したい、②スポットを使いたいが、中断リスクを最小にしたい、③特定のインスタンスタイプの在庫切れによる全滅を避けたいを実現、または管理するためのAWSサービス（または機能）は何か？,"①lowestPrice(最低価格)：とにかくコスト削減を最大化したい
②capacityOptimized(容量最適化)：スポットを使いたいが、中断リスクを最小にしたい
③Diversified(分散)ダイヴァーシファイド：特定のインスタンスタイプの在庫切れによる全滅を避けたい",EBS ,ja-JP,ja-JP
指定したプールのうち、その時一番安いものから順に選ぶ戦略は何。「とにかくコストを最小化」「中断しても全く問題ない」を実現、または管理するためのAWSサービス（または機能）は何か？,lowestPrice(最低価格),EBS ,ja-JP,ja-JP
在庫が最も豊富な（＝回収されにくい）プールから選ぶ戦略は何。「中断リスクの最小化」「安定性重視」を実現、または管理するためのAWSサービス（または機能）は何か？,capacityOptimized(容量最適化),EBS ,ja-JP,ja-JP
利用可能なすべてのプールに均等に分散させて起動する戦略は何。「リスク分散」「高可用性」を実現、または管理するためのAWSサービス（または機能）は何か？,diversified(分散),EBS ,ja-JP,ja-JP
ある特定のアベイラビリティーゾーン（AZ）（例：ap-northeast-1a）にある、特定のインスタンスタイプ（例：t3.micro）、特定のOS（例：Linux/UNIX）の、余っている在庫の集まりのことを、何と呼ぶか？を実現、または管理するためのAWSサービス（または機能）は何か？,プール（スポットインスタンスプール）,EBS ,ja-JP,ja-JP
クラウド内でサイズ変更可能なコンピューティングキャパシティを提供する仮想サーバーサービスは何か？,EC2フリート,EBS ,ja-JP,ja-JP
EC2インスタンスで使用するように設計された、高可用性で耐久性のあるブロックストレージボリュームは何か？,"EBSスナップショット
AMI (Amazon Machine Image)
AWS Backup",EBS ,ja-JP,ja-JP
EC2インスタンスで使用するように設計された、高可用性で耐久性のあるブロックストレージボリュームは何か？,EBSスナップショット,EBS ,ja-JP,ja-JP
