FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
AWSリソースとAWSで実行するアプリケーションのモニタリングサービスで、様々なログやメトリクスを監視できる。AWSリソースとAWSで実行するアプリケーションのモニタリングサービスで、様々なログやメトリクスを監視できる。「見る」のがメイン（CPUが何％か？ログになんて書いてあるか？）。,CloudWatch,運用上の優秀性,ja-JP,ja-JP
AWSサービスやアプリケーションに連携するイベント駆動型アプリケーションを大規模に構築するサービス,EventBridge,運用上の優秀性,ja-JP,ja-JP
AWS X-Ray はアプリケーションのリクエストデータをトレースして、アプリケーションを解析するサービス,X-ray,運用上の優秀性,ja-JP,ja-JP
複数のEC2インスタンスへの一括パッチ適用、リモート管理（Session Manager）、パラメータ管理などを行う統合管理サービスは何か？,Systems Manager,運用上の優秀性,ja-JP,ja-JP
AWS のサービス状態のパーソナライズされた状況をダッシュボード形式で確認できる,Personal Health Dashboard,運用上の優秀性,ja-JP,ja-JP
AWSリソースのレポジトリ情報からリソース変更履歴や構成変更を管理するサービスは何？構成変更を管理するストリームと履歴管理するヒストリーと構成要素を保存するスナップショットがある,Config,運用上の優秀性,ja-JP,ja-JP
Configの3つの機能は何？,"Stream構成変更を管理するストリーム
History履歴管理するヒストリー
Snapshot構成要素",運用上の優秀性,ja-JP,ja-JP
AWSユーザの操作（API操作やユーザのサインインアクティビテイ）をロギングするサービスは何？ユーザーアクセスとAPIコールのログ情報をS3バケットに保存し、CloudWatch上で解析できる。マルチアカウントで利用可能で、複数AWSアカウントの情報を集約可能,CloudTrail,運用上の優秀性,ja-JP,ja-JP
ベストプラクティスに基づき安全性と適合性を備えた、複数アカウントの AWS 環境を設定および管理するサービス,Control Tower,運用上の優秀性,ja-JP,ja-JP
AWSで承認されたITサービスのカタログを作成および管理する支援サービス,Service Catalog,運用上の優秀性,ja-JP,ja-JP
Service Catalogでは、管理されるAWSリソース定義や、これらの利用権限をカタログとして一元管理するために、何サービスのテンプレートを利用するのか？,CloudFormation,運用上の優秀性,ja-JP,ja-JP
ソフトウェアベンダーからのソフトウェアライセンスを簡単に管理するサービス,License Manager,運用上の優秀性,ja-JP,ja-JP
重要なコンプライアンス関連情報の頼りになる一元管理型のリソース,Artifact,運用上の優秀性,ja-JP,ja-JP
世界各地にある監査機関の指定する基準や規制を遵守状況をテストおよび確認したコンプライアンスレポートを提供する、Artifactというサービス内の一機能はなに？,Artifact Reports,運用上の優秀性,ja-JP,ja-JP
AWSアカウントとの契約の確認・受諾・管理を実施する、Artifactというサービス内の一機能はなに？,Artifact Agreements,運用上の優秀性,ja-JP,ja-JP
コスト最適化とセキュリティと対障害性とパフォーマンス向上についてアドバイスを提供するサービス,Trusted Advisor,運用上の優秀性,ja-JP,ja-JP
リソース の状態を監視するサービスは何？パフォーマンス、メトリクス、ログ（OS内部やアプリ）、アラーム,CloudWatch,運用上の優秀性,ja-JP,ja-JP
ユーザー の行動を監視するサービスは何？API呼び出し履歴、監査（誰が・いつ・何をしたか）、ガバナンス,CloudTrail,運用上の優秀性,ja-JP,ja-JP
CloudWatch メトリクスに基づく数式の結果を監視するメトリクスアラームを作成する。また、他のアラームの状態を考慮したルール式が含める複合アラームが作成できる。CloudWatchアラームにより、特定のメトリクスのしきい値に応じたアラーム通知や自動アクションを実行可能,CloudWatch アラーム,運用上の優秀性,ja-JP,ja-JP
