FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
サーバーレスは、設計思想自体が「イベント駆動」、つまり「リクエストが来た時だけ動く」という仕組みなので、呼び出し側は、例えばLambdaのサーバーの状態を一切気にする必要がありません。これによってもたらされる効果は何結合か？を実現、または管理するためのAWSサービス（または機能）は何か？,疎結合,サーバレス,ja-JP,ja-JP
マイクロサービスや分散システムを疎結合化するための、フルマネージドなメッセージキューイングサービスは何か？,SQS,サーバレス,ja-JP,ja-JP
SQSの実行順番は、デフォルトは「標準キュー」つまり、順序の保証がない、重複の可能性があります。「絶対に順番を守りたい！」「二重取り込みは困る！」という場合には、何をするべきか？を実現、または管理するためのAWSサービス（または機能）は何か？,「FIFOキュー」はを明示的に選択する,サーバレス,ja-JP,ja-JP
マイクロサービスや分散システムを疎結合化するための、フルマネージドなメッセージキューイングサービスは何か？,"インスタンスあたりのバックログ（Backlog per instance）」 を指標にしてターゲット追跡でAutoScalingする。
なおCPU使用率ではダメな理由は、CPU使用率と「本当の忙しさ」が一致しないから。たとえば、メッセージの処理内容が「外部APIを叩いて返信を待つ」ようなネットワーク待ちが多い場合、CPUは全然使いませんが、SQSにはメッセージがどんどん溜まってしまいます（処理が追いつかない）。",サーバレス,ja-JP,ja-JP
マイクロサービスや分散システムを疎結合化するための、フルマネージドなメッセージキューイングサービスは何か？,"重複処理が発生する：通常、SQSでは、インスタンスAがメッセージを受信する、そのメッセージは他の人から見えない状態（可視性タイムアウト期間）になる、インスタンスAが処理を完了し、メッセージを削除する。
しかし、「タイムアウト期間」よりも、インスタンスAの「処理時間」が長くなってしまうと、タイムアウトが終了し、メッセージが再びキューに現れる。インスタンスBが「あ、新しいメッセージだ」と思って同じメッセージを受信してしまう。結果として、AとBの両方で同じデータが処理される（重複）。",サーバレス,ja-JP,ja-JP
マイクロサービスや分散システムを疎結合化するための、フルマネージドなメッセージキューイングサービスは何か？,"①「設定で解決したい」 → 可視性タイムアウト (Visibility Timeout) を増やす。
②「設計で解決したい」 → べき等性 (「ある操作を1回行っても、100回行っても、結果が同じになること」) をDBやアプリケーションに持たせる。
③「順序通りに、かつ1回だけ確実に処理したい」 → SQS FIFOキュー を使用する。",サーバレス,ja-JP,ja-JP
アプリケーション間（A2A）およびアプリケーションから個人（A2P）への通知を可能にする、パブリッシャー/サブスクライバー型のメッセージングサービスは何か？,SNSトピック,サーバレス,ja-JP,ja-JP
メッセージの「送り主」です。SNSトピックに対してメッセージを発行（Publish）する人やアプリケーションを何と呼ぶか？今回で言えば「注文を受け付けたWebアプリケーション」。を実現、または管理するためのAWSサービス（または機能）は何か？,パブリッシャ (Publisher),サーバレス,ja-JP,ja-JP
メッセージの「論理的な配信先（チャネル）」です。パブリッシャは特定の何々？に対してメッセージを発行します。どのサブスクライバーにメッセージを届けるかを管理するハブのような役割です。を実現、または管理するためのAWSサービス（または機能）は何か？,トピック (Topic),サーバレス,ja-JP,ja-JP
トピックを通じて配信される「データそのもの」です。を実現、または管理するためのAWSサービス（または機能）は何か？,メッセージ (Message),サーバレス,ja-JP,ja-JP
トピックに登録（Subscribe）している「メッセージの受信者」を何と呼ぶか？メッセージを受け取って、その後の処理を行います。を実現、または管理するためのAWSサービス（または機能）は何か？,サブスクライバー (Subscriber),サーバレス,ja-JP,ja-JP
マイクロサービスや分散システムを疎結合化するための、フルマネージドなメッセージキューイングサービスは何か？,SNS/SQS,サーバレス,ja-JP,ja-JP
アプリケーション間（A2A）およびアプリケーションから個人（A2P）への通知を可能にする、パブリッシャー/サブスクライバー型のメッセージングサービスは何か？,SNS,サーバレス,ja-JP,ja-JP
マイクロサービスや分散システムを疎結合化するための、フルマネージドなメッセージキューイングサービスは何か？,SQS,サーバレス,ja-JP,ja-JP
マイクロサービスや分散システムを疎結合化するための、フルマネージドなメッセージキューイングサービスは何か？,"SQSにおける**コンシューマー（Consumer）：SQSを「郵便局のポスト」、メッセージを「手紙」と例えるなら、コンシューマーは**「ポストから手紙を取り出して中身を読み、用件を済ませる人（またはプログラム）」**にあたります。
1. コンシューマーの主な役割：メッセージの取得 (ReceiveMessage): SQSのキューからメッセージを取り出します。メッセージの処理: メッセージの内容（JSON形式などが一般的）に従って、データベース更新、メール送信、API呼び出しなどの「本来やりたかった処理」を行います。メッセージの削除 (DeleteMessage): 処理が正常に完了したことをSQSに伝え、キューからそのメッセージを完全に削除します。",サーバレス,ja-JP,ja-JP
Eメール機能を可能にするサービス。アプリケーション上にEメール送受信機能を実装する際に利用する。安全、グローバル、大規模に Eメールを送信が可能になる、疎結合実現のサービスは何か？,SES,サーバレス,ja-JP,ja-JP
JMS、NMS、AMQP、STOMP、MQTT、WebSocket などの業界標準 API やメッセージング用プロトコルを使用するApache ActiveMQ 向けのマネージド型メッセージブローカーサービスで、疎結合実現のサービスは何か？,MQ,サーバレス,ja-JP,ja-JP
アプリケーション間（A2A）およびアプリケーションから個人（A2P）への通知を可能にする、パブリッシャー/サブスクライバー型のメッセージングサービスは何か？,「SNSトピック」,サーバレス,ja-JP,ja-JP
SNSの送信方法を３種類言え？①低コスト、運用管理アラート②緊急通知③モバイルに即座にを実現、または管理するためのAWSサービス（または機能）は何か？,"①Eメール (Email)        低コスト、運用管理アラート        テキスト形式で届く。受信者が事前に承認（Confirm）する必要がある。
②SMS（ショートメッセージサービス）        緊急通知、MFA（多要素認証）        携帯電話番号宛。アプリ不要で即時性が高いが、送信コストがかかる。
③モバイルプッシュ        モバイルに即座に！        Apple (APNs) や Google (FCM) 経由。スマホアプリ画面に直接表示。",サーバレス,ja-JP,ja-JP
5MBまでの容量のあるデータをストリーム処理することが可能で、シャード単位でデータを順番通りに送信することができる、疎結合実現のサービスは何か？,Kinesis Data Streams,サーバレス,ja-JP,ja-JP
SQSからメッセージが取り出された後、処理担当のインスタンス以外からは一定時間（30秒～１2時間）キューが見えなくなる機能において、「他の消費者がそのメッセージを見ることができない（二重取り込みを防ぐ）」保留期間を何と呼ぶ？を実現、または管理するためのAWSサービス（または機能）は何か？,可視性タイムアウト（Visibility Timeout）,サーバレス,ja-JP,ja-JP
ポーリング処理の方式で、**「今ある分だけすぐちょうだい！」**という聞き方は何ポーリングと呼ぶか？キュー（データの保管場所）にデータがあるかないかに関わらず、すぐに返事が返ってきます。データがなければ「空だよ」という返事が即座に来ます。データがなかなか届かない場合、「ありますか？」「ないです」「ありますか？」「ないです」というやり取りを何度も繰り返すことになり、通信回数が増えてコスト（料金）がかさみます。デフォルトの設定はこちら。を実現、または管理するためのAWSサービス（または機能）は何か？,ショートポーリング,サーバレス,ja-JP,ja-JP
ポーリング処理の方式で、「届くまでしばらくここで待ってるね」**という聞き方は何ポーリングと呼ぶか？キューにデータがない場合、データが届くか、タイムアウト（最大20秒）になるまで接続を維持して待ち続けます。無駄な「空の返事」が減るため、APIの呼び出し回数が減り、料金が安くなります。レスポンス向上: データが届いた瞬間に受け取れるため、効率が良いです。実務や試験対策では、「コストを抑えたい」「空の応答を減らしたい」なら、このポーリングを選びます。を実現、または管理するためのAWSサービス（または機能）は何か？,ロングポーリング,サーバレス,ja-JP,ja-JP
「処理に失敗し続けて、ボロボロになったメッセージのゴミ箱（避難場所）」**を何と呼ぶか？SQSなどでメッセージを処理する際、どうしてもエラーで処理できない「困ったメッセージ」が出てくることがあります。それを放置せず、脇に避けるための仕組みです。を実現、または管理するためのAWSサービス（または機能）は何か？,デッドレターキュー（Dead Letter Queue / DLQ）,サーバレス,ja-JP,ja-JP
