FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
VPCのサブネット（およびVPC自体）で設定できるCIDR範囲については、AWSの「固定ルール」を覚えるのが試験対策の近道です。VPCに割り当て可能なサイズを最大から最小でいえ,16から28,VPC,ja-JP,ja-JP
サブネット内のIPアドレスにおいて、AWSが予約しているIPで、ユーザが使えないIPは何個あるか？,"「最初から4つ」と「最後から1つ」の、合計5つが使えない！
.0：ネットワークアドレス：住所
.1：VPCルーター
.2：Amazon提供のDNS
.3：AWSが将来のために取っておいている予備
一番最後（.255など）：ネットワークブロードキャスト用",VPC,ja-JP,ja-JP
AWSクラウドのネットワークからユーザー専用の領域を切り出すことができる仮想ネットワークのサービスは何。英３文字。,VPC,VPC,ja-JP,ja-JP
アカウント作成時に各リージョンに自動作成される「デフォルトVPC」は、パブリックかプライベートか？,パブリックのみ,VPC,ja-JP,ja-JP
インスタンスを①再起動、②停止・起動、③終了したときの、プライベートIPアドレスは維持する、解放する、の状態どうなるか？,①維持②維持③解放：プライベートIP: VPCという「あなたの家」の中のアドレスなので、あなたがリソースを消さない限りキープしてくれます。,VPC,ja-JP,ja-JP
インスタンスを①再起動、②停止・起動、③終了したときの、パブリックIPアドレスは維持する、解放する、の状態どうなるか？,①維持②解放③解放：再起動 (Reboot)OSレベルで「立ち上げ直し」を行いますが、AWSの管理上は「実行中（Running）」のステータスを維持したまま処理されます。,VPC,ja-JP,ja-JP
インスタンスを①再起動、②停止・起動、③終了したときの、EPアドレスは維持する、解放する、の状態どうなるか？,①維持②維持③手動で開放しない限り維持,VPC,ja-JP,ja-JP
"VPCコンソールで作成・管理できるVPC内のゲートウェイ5つ。
①VPCとインターネットを繋ぐメインの門
②プライベートサブネットからインターネットへ「一方通行」で繋ぐ窓口
③オンプレミス（自社拠点）とVPNで繋ぐための門
④複数のVPCやオンプレミスを「ハブ」として一元管理する門
⑤IPv6専用の「一方通行」インターネット門","① Internet Gateway (IGW)：役割：VPCとインターネットを繋ぐメインの門
② NAT Gateway：プライベートサブネットからインターネットへ「一方通行」で繋ぐ窓口
③ Virtual Private Gateway (VGW)：オンプレミス（自社拠点）とVPNで繋ぐための門
④ Transit Gateway (TGW)：複数のVPCやオンプレミスを「ハブ」として一元管理する門
⑤ Egress-Only Internet Gateway：IPv6専用の「一方通行」インターネット門",VPC,ja-JP,ja-JP
オンプレミス環境と接続する際に利用するゲートウェイで、オンプレミス側にあるルーターは何ゲートウェイ。カスタマーゲートウェイデバイスまたはソフトウェアアプリケーションに関する情報を AWS に提供する。Keyは、オンプレ側の物理デバイス、 IPアドレスの登録,カスタマーゲートウェイ (CGW),VPC,ja-JP,ja-JP
VPCとインターネットを繋ぐ玄関は何ゲートウェイ。パブリックサブネット、 静的パブリックIP、 高可用性（マネージド）,インターネットゲートウェイ (IGW),VPC,ja-JP,ja-JP
プライベート環境から外へ出すは何ゲートウェイ。IPv4、 セキュリティパッチ更新、 パブリックサブネットに配置,NAT ゲートウェイ,VPC,ja-JP,ja-JP
IPv6向けのインターネットゲートウェイは何ゲートウェイ。IPv6 経由での VPC からインターネットへの送信を可能にし、インターネットからのインスタンスへの接続は防ぐIPv6専用。,Egress-Only IGW：e- (ex-) = 「外へ (out)」gradior / gress = 「歩く、行く (to step / to go)」直訳: 「外へ歩き出すこと」：Pro-gress (プログレス): Pro（前へ） + gress（進む） ＝ 進歩,VPC,ja-JP,ja-JP
複数のVPCやオンプレミスを「ハブ」として一元管理する門で、VPCが10個、20個と増えた時に、それらを網目状に繋ぐのではなく、このゲートウェイを中心に「スター型」で接続して管理を楽にする、ネットワークが複雑になった時の救世主のゲートウェイは何？。,Transit Gateway (TGW),VPC,ja-JP,ja-JP
VPN トンネルの Amazon側にあるルーターでVPN接続時に利用し、AWS側のVPN/Direct Connect終端点は何ゲートウェイ。Site-to-Site VPN、 Direct Connect、 VPCにアタッチ,仮想プライベートゲートウェイ (VGW),VPC,ja-JP,ja-JP
VPC内のリソース（EC2など）から、インターネットを経由せずにAWSの各種サービス（S3、DynamoDB、SQSなど）へプライベートに接続するための出口です。通常、VPC内のプライベートサブネットからAWSサービスにアクセスするには「NATゲートウェイ」が必要ですが、これを通すとインターネットを経由してしまうリスクを解消するために、通信をAWSネットワーク内に閉じ込め、セキュリティ向上とデータ転送コストの最適化を可能にします。,VCPエンドポイント,VPC,ja-JP,ja-JP
エンドポイントには２種類ある。何型と何型？,Gateway型。Interface型,VPC,ja-JP,ja-JP
エンドポイントの型は何？対象サービスはS3、DynamoDB のみ。ルートテーブルに「行き先」を書き込む。料金は無料。接続方法は、ルートテーブルのターゲットに設定。アタッチ先: VPC です。紐付け先: ルートテーブル です。実体: サブネット内にIPは持ちません。ルートテーブルに「S3行きはあちら」という案内図を書き込むだけです。サブネットと、特定の目的地を、『魔法のワープパネル』で直接つなげる。,Gateway型：「ゲートウェイ型エンドポイント（Gateway Endpoint）」という名前の由来は、その**「接続の仕組み」が、VPCの外の世界へ出るための「門（ゲートウェイ）」として機能するから**です。もう少し具体的に言うと、**「ルートテーブル（経路表）に書き込んで使うタイプだから」**という理由があります。,VPC,ja-JP,ja-JP
エンドポイントの型は何？全サービスが対象で、サブネット内に「専用のプライベートIP」を持つ。有料（時間料金 ＋ データ処理料金）。DNS名またはIPアドレスで接続。アタッチ先: VPC です。実体: 指定したサブネット内に、**ENI（プライベートIPを持つネットワークカード）**が作成されます。イメージ: サブネットの中に「S3専用の窓口（受付）」が設置されるようなものです。,Interface型,VPC,ja-JP,ja-JP
VPCという敷地に設定し、特定の目的地（S3やDynamoDB）へ直接つながる 「魔法の通り抜けフープ（どこでもドア）」 を設置するイメージのソリューションは何ですか？特徴：設置場所： サブネット（各部屋）の中に物理的な機器（IPアドレス）を設置するのではなく、部屋の 案内板（ルートテーブル） に「目的地（S3/DynamoDB）へ行くなら、この壁を通り抜けろ」という特別な経路を書き込むことで機能する。通信の仕組み： 通信がその「壁（ゲートウェイ）」を一歩またぐと、インターネットを通らずに直接目的地へ到達する。リソース消費： サブネット内のプライベートIPアドレスを消費せず、案内板の設定変更のみで完結するため、運用コスト（料金）がかからない。,ゲートウェイ型エンドポイント,VPC,ja-JP,ja-JP
AWSのVPCエンドポイントにおいて、以下のイメージに該当するタイプはどれですか？「VPCという敷地内にエンドポイントを登録し、各サブネット（部屋）の中に『特定のサービス専用の受付カウンター（ENI）』を設置する。利用者は部屋を出ることなく、そのカウンター（プライベートIPアドレス）に直接話しかけることで通信を行う。」補足条件：サブネット内のIPアドレスを消費する。カウンター自体にセキュリティグループを設定してアクセス制御ができる。オンプレミスからVPN経由でこの「窓口」にアクセスすることも可能である。,インターフェイス型エンドポイント,VPC,ja-JP,ja-JP
VPN（Site-to-Site VPN）の両陣営、オンプレミス（会社や自宅）側とAWS（VPC）側に置くルーターは、それぞれ何ゲートウェイと呼ぶか。,"オンプレミス（会社や自宅）側：カスタマーゲートウェイ (CGW)
AWS（VPC）側：仮想プライベートゲートウェイ (VGW)",VPC,ja-JP,ja-JP
