FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
弾力性に優れたアーキテクチャの設計で使われる、各AWSアカウントに設定された、各サービスの使用量の上限（リミット）を管理するサービスは何,Service Quotas（サービス・クォータ）：「食（く）おーた（Quota）分だけ、お会計！」「自分が食おうとした（食べようとした）量には、あらかじめ**決まった枠（制限）**がある」というイメージです。食べ放題（AWSリソース）だけど、一度に持っていける皿の数は決まっている、と覚えましょう。,Japanese,ja-JP,ja-JP
弾力性に優れたアーキテクチャの設計で使われる、決められた枠を超えそうになったとき、AWS側が意図的にブレーキをかけること。例えば100人入っている状態で、101人目が来たら「すみません、今は満席なので入れません！」と門前払いすることを何と呼ぶか,スロットリング：スロットル（Throttle）： 喉をキュッと絞って、通る空気の量を**「調節する」**こと,Japanese,ja-JP,ja-JP
弾力性に優れたアーキテクチャの設計で使われる、「一度作ったら、二度と中身を書き換えない（改造しない）インフラ」は何インフラストラクチャー,イミュータブルインフラストラクチャ（Immutable Infrastructure）：「意味、無（む）！テーブル書き換え」（い・み・む・てーぶる）「一度作ったテーブル（インフラ）を書き換えるなんて、**意味（イミ）が無（む）**理！」とイメージしてください。,Japanese,ja-JP,ja-JP
弾力性に優れたアーキテクチャの設計で使われる、特定のビジネス価値を生み出すために動いている、ITリソースのひとかたまりのシステム全体のことを何と呼ぶか。「今、クラウドという背中に、どれだけの重さの仕事（システム）を背負わせているか」というイメージです。,ワークロード,Japanese,ja-JP,ja-JP
高性能アーキテクチャの設計で使われる、Auto Scalingの３つの名称は？①EC2専用、②それ以外、③詳細設定できないが全体包括している,"EC2 Auto Scaling
Application Auto Scaling
AWS Auto Scaling",Japanese,ja-JP,ja-JP
コスト最適化アーキテクチャの設計で使われる、ロードバランシングの４種類は何。①L7、一般的なWebアプリ、キーワードはHTTP/HTTPS②L4、極めて高いスループット、キーワードはTCP/UDPや固定IP、極低遅延③L3、セキュリティ機器の集約、キーワードはサードパーティのファイアウォールやセキュリティ系のアプライアンス（仮想機器）を挟む④L4/L7、旧世代,"1. ALB (Application Load Balancer)
2. NLB (Network Load Balancer)
3. GWLB (Gateway Load Balancer)
4. CLB (Classic Load Balancer)",Japanese,ja-JP,ja-JP
3 層 Web アプリケーションの３層を言え？,「プレゼンテーション層」「アプリケーション層」「データ層」,Japanese,ja-JP,ja-JP
アプリケーションを**「プレゼンテーション層」「アプリケーション層」「データ層」**の3つに物理的・論理的に分離するのは何層アプリケーション,3 層 Web アプリケーション,Japanese,ja-JP,ja-JP
ユーザーからのリクエストを直接受け取る窓口は3層アーキテクチャの何層か？静的コンテンツ（HTML/CSS/画像）の配信や、リクエストの受付。AWSサービス: ALB (Application Load Balancer)、Amazon S3（静的ホスティング）、Amazon CloudFront、が該当する,プレゼンテーション層（ウェブ層）,Japanese,ja-JP,ja-JP
ビジネスロジック（計算、処理、判断）を実行する心臓部は3層アーキテクチャの何層か？ユーザーの入力に基づいたデータの処理。AWSサービス: EC2 (Auto Scaling)、AWS Lambda、Amazon ECS/EKS（コンテナ）、が該当する,アプリケーション層（ロジック層）,Japanese,ja-JP,ja-JP
情報を永続的に保存する場所は3層アーキテクチャの何層か？データの蓄積・読み書き。AWSサービス: Amazon RDS、Amazon Aurora、Amazon DynamoDBが該当する,データ層（データベース層）,Japanese,ja-JP,ja-JP
プレゼンテーション層とアプリケーション層が同じサーバー内にいるのは何層アーキテクチャというか？1台のEC2インスタンスの中に、Apache（Webサーバ）とPHP/Python（プログラム）が同居している状態。,2層アーキテクチャ,Japanese,ja-JP,ja-JP
メインのサーバー（EC2など）が行っている「重い処理」や「特定の役割」を、他の専門サービスに肩代わりさせることを何という。サーバーの負荷を下げ、パフォーマンスと可用性を高めるための重要なテクニックです。,オフロード（Offloading）,Japanese,ja-JP,ja-JP
AWSのリソースを直接操作できるものはどれか。(3つ選択)なおAWSの試験や定義において「リソースを操作する」とは、AWSのAPI（命令の窓口）を叩くことを指します。,"マネコン：マネジメントコンソール
SDK：（Software Development Kit）「自分の好きなプログラミング言語を使って、プログラムの中からAWSを自由自在に操るための道具セット」**です。
CLI操作
＊インスタンス操作（SSH等）Tera Term / PuTTYなどは違う。理由は、AWSのAPIには何も飛びません。ただ、特定のIPアドレス（インスタンス）に対して「通してくれ」とお願いするだけです。",Japanese,ja-JP,ja-JP
CloudFrontがコンテンツを取得しに行く**「元のサーバーやストレージ」**のこと。,オリジン (Origin),Japanese,ja-JP,ja-JP
AWSのサービスには、「特定の地域（リージョン）」に縛られるものと、**「世界中で一つ」**として提供されるものの2種類があります。特定のリージョン（東京、バージニアなど）を選択することなく、世界共通の管理単位で提供されるIAM 、Route 53、CloudFrontは、何サービスなのか？,「グローバル」サービス,Japanese,ja-JP,ja-JP
一度つないだら、ずっと双方向でリアルタイムに話し続けられる通信方式」**です,WebSocket,Japanese,ja-JP,ja-JP
AWSの文脈において、「誰が、いつ、どこで実行しても、同じ手順で同じ結果が得られる状態」**を何と呼ぶか？具体的には以下のような状態です：①マニュアル（手作業）に頼らない: 人の手でポチポチ設定すると、設定漏れなどの「ヒューマンエラー」が起きがちです。②自動化されている: スクリプトや設定ファイル（Infrastructure as Codeなど）を一度作れば、2回目以降は実行ボタンを押すだけで全く同じ環境が出来上がります。③標準化されている: 会社全体のルールとして「この方法でアクセスする」と決まっており、どのEC2に対しても同じルールが適用できることです。,「反復可能（Repeatable）」,Japanese,ja-JP,ja-JP
