FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
いつまでにシステムが復旧するかという目標時間を表す指標。英３文字。,目標復旧時間（RTO: Recovery Time Objective）,Auto Scaling,ja-JP,ja-JP
システム障害などでデータが損壊した際に、復旧するバックアップデータの古さの目標。英３文字,目標復旧時点（RPO: Recovery Point Objective）,Auto Scaling,ja-JP,ja-JP
システムを構成する要素のうち、そこが停止するとシステム全体が停止してしまうような、冗長化されていない唯一の箇所のこと。Key：高可用性、冗長化、マルチAZ、疎結合、Auto Scaling、ロードバランサー（ELB）,単一障害点（SPOF：Single Point of Failure）,Auto Scaling,ja-JP,ja-JP
複数のEC2インスタンスやコンテナなどのターゲット間で、受信したアプリケーションのトラフィックを自動的に分散させて可用性とスケーラビリティを向上させるサービス。KEY：負荷分散（ロードバランシング）。ヘルスチェック。高可用性（High Availability）。マルチAZ（Multi-AZ）。リスナー。ターゲットグループ,ELB,Auto Scaling,ja-JP,ja-JP
現在利用できるロードバランサーの3タイプは何か？,ALB、NLB、CLB,Auto Scaling,ja-JP,ja-JP
HTTP/HTTPSリクエストのパスやホスト名に基づき、高度なレイヤー7のルーティングを行うロードバランサーは何か？レイヤー7の対応が強化された単一ロードバランサーで、異なるアプリケーションへリクエストをルーティングが可能。KEY：レイヤー7、パスベース、ホストベース、ターゲットグループ、WAF連携,ALB (Application Load Balancer),Auto Scaling,ja-JP,ja-JP
超低遅延で高いスループットを持ち、レイヤー4レベルで数百万のリクエストを処理できるロードバランサーは何か？超低遅延で高スループットを維持しながら秒間何百万リクエストを捌けるように設計された高性能ロードバランサ―。KEY：レイヤー4、TCP/UDP、固定IPアドレス、Elastic IP、超低遅延,NLB (Network Load Balancer),Auto Scaling,ja-JP,ja-JP
複数のEC2インスタンス間で基本的な負荷分散を行う、旧世代のロードバランサーは何か？初期のELBタイプであり、標準的なL4／L７におけるロードバランシングが可能だが、複雑な設定はできない。KEY：レイヤー4および7、旧世代（Legacy）、EC2-Classic、非推奨,CLB (Classic Load Balancer),Auto Scaling,ja-JP,ja-JP
Network Firewall用の特別なロードバランサーで、ファイアーウォールへのルートのトラフィック分散を簡素化するロードバランサ―は何か？KEY：L3、アプライアンス、GENEVEプロトコル、透過的、セキュリティ検査,GLB：Gateway Load Balancer,Auto Scaling,ja-JP,ja-JP
NLBのリクエストに対応できる能力は、毎秒で何回か？,数百万：数M,Auto Scaling,ja-JP,ja-JP
システム全体を1つの大きなプログラムとして動かすのではなく、「ログイン担当」「注文担当」「画像表示担当」というように、役割（機能）ごとに分けて用意されたサーバー群を何別サーバーと呼ぶか？,機能別サーバー：「機能別」「URLパス別」「ホスト名別」という要件が出てきたら、迷わず ALB を選択,Auto Scaling,ja-JP,ja-JP
ロードバランシングしたいサーバーとしていくつかの機能別サーバー群を有しています。あなたはソリューションアーキテクトとして機能別にバランシングを実施したいと考えています。選択すべきロードバランサ方式はどれですか？,ALB,Auto Scaling,ja-JP,ja-JP
予測される大規模なアクセス急増（スパイク）に備えて、AWS側であらかじめELB（ロードバランサー）の処理能力を引き上げておく（スケーリングさせておく）作業のことを何と呼ぶか？,"**Pre-warming（暖機運転）**
サポートプランの確認：Pre-warmingの申請には、ビジネスサポート以上の契約が必要です。
サポートケース（チケット）の作成：AWSマネジメントコンソールの「サポートセンター」から、新規ケースを作成します。
必要情報の提供：開始・終了日時: アクセス急増が予想される正確な時間。
AWSによる準備：申請内容に基づき、AWS側がロードバランサーのノード（中身の処理ユニット）をあらかじめ増やして、トラフィックを受け入れられる状態にしてくれます。",Auto Scaling,ja-JP,ja-JP
PreWarming申請が不要なELBは何か？,NLB (Network Load Balancer)：NLBは、急激なトラフィックの増大（スパイク）に対して非常に強い特性を持っています。圧倒的な処理能力: 第4層（トランスポート層）で動作し、毎秒数千万リクエストを捌くことができるため、事前の拡張なしでも突発的なアクセスに対応可能です。,Auto Scaling,ja-JP,ja-JP
負荷分散先のインスタンスが正常に動作しているか、定期的に確認する仕組みは何ですか？KEY：正常/異常の判定、自動切り離し、しきい値,ヘルスチェック,Auto Scaling,ja-JP,ja-JP
複数のAZにまたがる全インスタンスに対して、リクエストを均等に分配する機能は何ですか？KEY：AZ間の不均衡解消、トラフィック均等化,クロスゾーン負荷分散,Auto Scaling,ja-JP,ja-JP
「AZ-Aに2台、AZ-Bに8台のインスタンスがある。クロスゾーン負荷分散が無効な場合、各インスタンスの負荷値はどうなるか？」,"AZ-Aのインスタンスには全体の25%ずつの負荷がかかり、AZ-Bのインスタンスには全体の6.25%ずつの負荷しかかからない。
解決策： **「クロスゾーン負荷分散を有効にする」**ことで、全10台に10%ずつ均等にトラフィックを分散させる。",Auto Scaling,ja-JP,ja-JP
クロスゾーン負荷分散がデフォルトで有効になっているのは、何LB？,ALB,Auto Scaling,ja-JP,ja-JP
ロードバランサー（ALBやNLB）における**「受付窓口（玄関番）」**のことです。どのポートやプロトコルで接続を受け付け、どこへ転送するかを定義する窓口を何と呼ぶか？KEY：プロトコル、ポート番号、ルーティングルール,リスナー設定,Auto Scaling,ja-JP,ja-JP
クロスゾーン負荷分がが均一化するのに対して、特定のユーザーを常に同じインスタンスに送る機能（クロスゾーンとは逆に、あえて固定する機能）は何と呼ぶか？,スティッキーセッション（維持設定）,Auto Scaling,ja-JP,ja-JP
