FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
AWSリソースへのアクセスを安全に管理し、誰がどのリソースにどのような操作を許可するかを定義するサービスは何か？,IAM：Identity and Access Management,IAM,ja-JP,ja-JP
AWSリソースへのアクセスを安全に管理し、誰がどのリソースにどのような操作を許可するかを定義するサービスは何か？,IAMポリシー,IAM,ja-JP,ja-JP
AWSリソースへのアクセスを安全に管理し、誰がどのリソースにどのような操作を許可するかを定義するサービスは何か？,IAMユーザー,IAM,ja-JP,ja-JP
AWSリソースへのアクセスを安全に管理し、誰がどのリソースにどのような操作を許可するかを定義するサービスは何か？,IAMユーザーグループ,IAM,ja-JP,ja-JP
AWSリソースへのアクセスを安全に管理し、誰がどのリソースにどのような操作を許可するかを定義するサービスは何か？,IAMロール,IAM,ja-JP,ja-JP
AWSリソースへのアクセスを安全に管理し、誰がどのリソースにどのような操作を許可するかを定義するサービスは何か？,IAMロール,IAM,ja-JP,ja-JP
IAMポリシーの３種類はなに？①ユーザー側で編集は不可、②ユーザー（管理者）が独自に作成・管理するポリシー。③直接埋め込まれるを実現、または管理するためのAWSサービス（または機能）は何か？,AWS管理ポリシー、カスタマー管理ポリシー、インラインポリシー,IAM,ja-JP,ja-JP
「対象物に直接埋め込まれている」**というニュアンスで使われる英語。「その場限り」: ポリシーがIAMユーザーやロールという「行（対象）」の中に直接書き込まれています。管理ポリシーは、図書館にある『貸出可能な本（誰でも借りて読める）』」、「何々ポリシーは、その人の体に彫られた『タトゥー（その人専用で、バラバラにできない）を実現、または管理するためのAWSサービス（または機能）は何か？,インライン：In（の中に） + Line（列・行）もともとは印刷やタイポグラフィの用語で、文章の流れ（行）の中に図像や特別な文字をそのまま配置することを指しました。,IAM,ja-JP,ja-JP
AWSが作成および管理しているIAM管理ポリシーで、既にAWSが設定しているポリシーがリスト化されており、適時ユーザーやロールに適用できるIAMポリシーは何ポリシーと呼ぶか。AWSが用意した、使い回せるテンプレ。を実現、または管理するためのAWSサービス（または機能）は何か？,AWS管理ポリシ,IAM,ja-JP,ja-JP
AWSアカウントで作成・管理する管理ポリシーで、同じポリシーを複数のIAMエンティティにアタッチできるIAMポリシーのタイプを何ポリシーと呼ぶか。自分が作った、使い回せるオリジナル権限。を実現、または管理するためのAWSサービス（または機能）は何か？,カスタマー管理ポリシー,IAM,ja-JP,ja-JP
