FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
オンプレミス環境にあるサーバーと同じ性能を持ったサーバーをインターネット上で瞬時に作成することができるサービスで、数分で利用可能となる従量課金（時間～秒単位）で利用可能な仮想サーバーは何？,EC2,EC2,ja-JP,ja-JP
汎用インスタンスタイプの語呂合わせ,ATMは汎用,EC2,ja-JP,ja-JP
コンピューティング最適化インスタンスタイプの語呂合わせ,コンピューティングはCから始まる,EC2,ja-JP,ja-JP
メモリ最適化インスタンスタイプの語呂合わせ,RXZ（ヤマハのバイク）は想いでメモリ最適,EC2,ja-JP,ja-JP
ストレージ最適化インスタンスタイプの語呂合わせ,Highly Important Dataはストレージ最適,EC2,ja-JP,ja-JP
高速コンピューティングインスタンスタイプの語呂合わせ,F1GPは高速,EC2,ja-JP,ja-JP
インターネットからのEC2インスタンスへのアクセスが不能な場合の主原因３つ。ヒント①IGW、②IP、③SG、NACL,"①VPCにインターネットゲートウェイがアタッチされていない
②パブリックIPアドレスの欠如
③SG、NACLのインバウンドルール",EC2,ja-JP,ja-JP
①虫食い「インスタンスに何々？IP（または何々？ IP）が割り当てられていない。」,"パブリックIPv4アドレス
Elastic IP",EC2,ja-JP,ja-JP
②虫食い「アクセス許可設定で、何々？または何々？において適切なアクセス許可が設定されていない。」,セキュリティグループ、ネットワークACL,EC2,ja-JP,ja-JP
③虫食い「ネットワーク構成のミスで、何々？ サブネットにインスタンスを配置していない。VPCに何々？がアタッチされていない。サブネットのルートテーブルに、外の世界（0.0.0.0/0）へ行くための出口が設定されていない。,"パブリックサブネット
Internet Gateway",EC2,ja-JP,ja-JP
「コンピューティング（計算リソース）」に関連するサービスが対象になっているSavings Plansですが、２タイプがあります。タイプと適用可能サービスは各々なんでしょうか？,"① EC2 インスタンスSavings Plan：EC2に適用可能
② Compute Savings Plan：Fargate、Lambda に適用可能
（補足で③SageMaker Savings Plans）",EC2,ja-JP,ja-JP
SavingsPlanなどとセットで利用するもので、キャパシティを事前に予約して購入形式に適用するのを、何予約と言うか。予めキャパシティを確保しておくことで実行時のキャパシティ不足エラーを抑制する。,キャパシティ予約,EC2,ja-JP,ja-JP
リザーブドインスタンスのキャパシティの予約方式は、指定したAZ内で1年間または3年間の間のキャパシティを予約するのは何リザーブドインスタンス？指定したリージョン内で1年間または3年間の間のキャパシティを予約するのは何リザーブドインスタンス？,"ゾーンリザーブドインスタンス
リージョンリザーブドインスタンス",EC2,ja-JP,ja-JP
EC2のリザーブドインスタンス（RI）には「スタンダード」と「コンバーティブル」の2種類がありますが、スタンダードは割引率が高い分、変更の自由度がかなり制限されています。リサーブドインスタンスのスタンダードでは変更できないもの４つ。語呂合わせで。,"「STDは安いので変更機能は、オフしてる」（お・ふ・し・て）
OS、（インスタンス）ファミリー、支払オプション、テナンシー",EC2,ja-JP,ja-JP
