FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
AWSリソースとAWSで実行するアプリケーションのモニタリングサービスで、様々なログやメトリクスを監視できる。AWSリソースとAWSで実行するアプリケーションのモニタリングサービスで、様々なログやメトリクスを監視できる。「見る」のがメイン（CPUが何％か？ログになんて書いてあるか？）。 に該当し、CloudWatch の特徴を持つAWSサービスはどれか？,CloudWatch,運用上の優秀性,ja-JP,ja-JP
AWSサービスやアプリケーションに連携するイベント駆動型アプリケーションを大規模に構築するサービス に該当し、EventBridge の特徴を持つAWSサービスはどれか？,EventBridge,運用上の優秀性,ja-JP,ja-JP
AWS X-Ray はアプリケーションのリクエストデータをトレースして、アプリケーションを解析するサービス に該当し、X-ray の特徴を持つAWSサービスはどれか？,X-ray,運用上の優秀性,ja-JP,ja-JP
利用中のAWSサービスやリソースをモニタリングして、運用タスクを自動化する統合監視サービス。「操作する・直す」のがメイン（パッチを当てる、設定を変える、自動化する）。「監視（見る）」だけでなく、「運用タスクの自動化」や「一括設定変更」といったアクションの話が出てきたら このサービスを選ぶのがコツです。1. 「大量のEC2」を一括操作したい。2. 「オンプレミス」も一緒に管理したい。3. 安全に「ログイン」したい（踏み台サーバーをなくしたい） に該当し、Systems Manager の特徴を持つAWSサービスはどれか？,Systems Manager,運用上の優秀性,ja-JP,ja-JP
AWS のサービス状態のパーソナライズされた状況をダッシュボード形式で確認できる に該当し、Personal Health Dashboard の特徴を持つAWSサービスはどれか？,Personal Health Dashboard,運用上の優秀性,ja-JP,ja-JP
AWSリソースのレポジトリ情報からリソース変更履歴や構成変更を管理するサービスは何？構成変更を管理するストリームと履歴管理するヒストリーと構成要素を保存するスナップショットがある に該当し、Config の特徴を持つAWSサービスはどれか？,Config,運用上の優秀性,ja-JP,ja-JP
"Configの3つの機能は何？ に該当し、Stream構成変更を管理するストリーム
History履歴管理するヒストリー
Snapshot構成要素 の特徴を持つAWSサービスはどれか？","Stream構成変更を管理するストリーム
History履歴管理するヒストリー
Snapshot構成要素",運用上の優秀性,ja-JP,ja-JP
AWSユーザの操作（API操作やユーザのサインインアクティビテイ）をロギングするサービスは何？ユーザーアクセスとAPIコールのログ情報をS3バケットに保存し、CloudWatch上で解析できる。マルチアカウントで利用可能で、複数AWSアカウントの情報を集約可能 に該当し、CloudTrail の特徴を持つAWSサービスはどれか？,CloudTrail,運用上の優秀性,ja-JP,ja-JP
ベストプラクティスに基づき安全性と適合性を備えた、複数アカウントの AWS 環境を設定および管理するサービス に該当し、Control Tower の特徴を持つAWSサービスはどれか？,Control Tower,運用上の優秀性,ja-JP,ja-JP
AWSで承認されたITサービスのカタログを作成および管理する支援サービス に該当し、Service Catalog の特徴を持つAWSサービスはどれか？,Service Catalog,運用上の優秀性,ja-JP,ja-JP
Service Catalogでは、管理されるAWSリソース定義や、これらの利用権限をカタログとして一元管理するために、何サービスのテンプレートを利用するのか？ に該当し、CloudFormation の特徴を持つAWSサービスはどれか？,CloudFormation,運用上の優秀性,ja-JP,ja-JP
ソフトウェアベンダーからのソフトウェアライセンスを簡単に管理するサービス に該当し、License Manager の特徴を持つAWSサービスはどれか？,License Manager,運用上の優秀性,ja-JP,ja-JP
重要なコンプライアンス関連情報の頼りになる一元管理型のリソース に該当し、Artifact の特徴を持つAWSサービスはどれか？,Artifact,運用上の優秀性,ja-JP,ja-JP
世界各地にある監査機関の指定する基準や規制を遵守状況をテストおよび確認したコンプライアンスレポートを提供する、Artifactというサービス内の一機能はなに？ に該当し、Artifact Reports の特徴を持つAWSサービスはどれか？,Artifact Reports,運用上の優秀性,ja-JP,ja-JP
AWSアカウントとの契約の確認・受諾・管理を実施する、Artifactというサービス内の一機能はなに？ に該当し、Artifact Agreements の特徴を持つAWSサービスはどれか？,Artifact Agreements,運用上の優秀性,ja-JP,ja-JP
コスト最適化とセキュリティと対障害性とパフォーマンス向上についてアドバイスを提供するサービス に該当し、Trusted Advisor の特徴を持つAWSサービスはどれか？,Trusted Advisor,運用上の優秀性,ja-JP,ja-JP
リソース の状態を監視するサービスは何？パフォーマンス、メトリクス、ログ（OS内部やアプリ）、アラーム に該当し、CloudWatch の特徴を持つAWSサービスはどれか？,CloudWatch,運用上の優秀性,ja-JP,ja-JP
ユーザー の行動を監視するサービスは何？API呼び出し履歴、監査（誰が・いつ・何をしたか）、ガバナンス に該当し、CloudTrail の特徴を持つAWSサービスはどれか？,CloudTrail,運用上の優秀性,ja-JP,ja-JP
CloudWatch メトリクスに基づく数式の結果を監視するメトリクスアラームを作成する。また、他のアラームの状態を考慮したルール式が含める複合アラームが作成できる。CloudWatchアラームにより、特定のメトリクスのしきい値に応じたアラーム通知や自動アクションを実行可能 に該当し、CloudWatch アラーム の特徴を持つAWSサービスはどれか？,CloudWatch アラーム,運用上の優秀性,ja-JP,ja-JP
EC2などのAWSリソースの監視サービスであり、死活監視、性能監視、キャパシティ監視を実施する。有料枠では確認内容や設定の柔軟性が充実化する。 に該当し、CloudWatch メトリクス の特徴を持つAWSサービスはどれか？,CloudWatch メトリクス,運用上の優秀性,ja-JP,ja-JP
CloudWatchと連動したログを収集・可視化する機能。EC2上のOS・アプリケーションのログやAWSマネージドサービスのログを取得する。ログを管理しつつ、可視化・分析を実施できるサービスで、RDSのログに対応している。アプリケーションが出すログや、EC2の中のログを「溜めて・見る」場所。 に該当し、CloudWatch Logs の特徴を持つAWSサービスはどれか？,CloudWatch Logs,運用上の優秀性,ja-JP,ja-JP
CloudWatchはAWSリソースに対するイベントをトリガーにアクションを実行する。オペレーションの変更に応答し、応答メッセージ送信、機能のアクティブ化などを実施する。 に該当し、CloudWatch Events（Amazon EventBridgeに統合） の特徴を持つAWSサービスはどれか？,CloudWatch Events（Amazon EventBridgeに統合）,運用上の優秀性,ja-JP,ja-JP
