FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage,,,,,,,,,,,,,,,,,,,,,
Lambdaの1回の実行時間の最大は何分,15分,Japanese,ja-JP,ja-JP,,,,,,,,,,,,,,,,,,,,,
ハイパフォーマンスコンピューティング（HPC）における三種の神器の一つで、①計算用サーバーの集まりを簡単に一括構築・管理するクラスター管理ツール,ParallelCluster,Japanese,ja-JP,ja-JP,,,,,,,,,,,,,,,,,,,,,
ハイパフォーマンスコンピューティング（HPC）における三種の神器の一つで、②サーバー間のデータ転送の遅延を極限まで減らします,EFA（Elastic Fabric Adapter）,Japanese,ja-JP,ja-JP,,,,,,,,,,,,,,,,,,,,,
ハイパフォーマンスコンピューティング（HPC）における三種の神器の一つで、③複数のサーバー間でデータをやり取りしながら並列計算する,MPI（Message Passing Interface）,Japanese,ja-JP,ja-JP,,,,,,,,,,,,,,,,,,,,,
LambdaからRDSへ大量に接続する ときに、接続を効率よくプールして使い回してくれるRDSの接続機能は何？,RDS Proxy,Japanese,ja-JP,ja-JP,,,,,,,,,,,,,,,,,,,,,
それ自体がNetwork Attached Storageのフリをして、データを社内ディスクとS3の2箇所に同時に保存してくれる賢い中継システムは何Gatewayか,Storage Gateway,Japanese,ja-JP,ja-JP,,,,,,,,,,,,,,,,,,,,,
3層アプリケーション（3層クライアント・サーバーシステム）の３つの機能は何,「プレゼンテーション層」「アプリケーション層」「データ層」,Japanese,ja-JP,ja-JP,,,,,,,,,,,,,,,,,,,,,
システムを使えるようにするために、必要な設備やリソース（サーバー、ネットワーク、ストレージなど）を準備・配置・設定すること,プロビジョニング,Japanese,ja-JP,ja-JP,,,,,,,,,,,,,,,,,,,,,
ECS の、土台となるサーバーを起動する2つの「起動モード」は何？,EC2起動モード、Fargate起動モード,Japanese,ja-JP,ja-JP,,,,,,,,,,,,,,,,,,,,,
DynamoDBの読み込みをミリ秒からマイクロ秒単位へ超高速化するキャッシュサービスは何か？,DynamoDB Accelerator (DAX),Japanese,ja-JP,ja-JP,,,,,,,,,,,,,,,,,,,,,
動いている暗号化されていないDAXクラスターを暗号化したい場合の対処方法は？,新しく暗号化を有効にしたDAXクラスターを作成し直し、そちらに切り替える,Japanese,ja-JP,ja-JP,,,,,,,,,,,,,,,,,,,,,
AWSが提供する超大型データ分析専用のデータウェアハウスは何か？,Redshift,Japanese,ja-JP,ja-JP,,,,,,,,,,,,,,,,,,,,,
S3バケットに置いてある大量のデータを、Redshift側にわざわざ取り込むことなく、S3にある状態のままで超高速にSQL分析できるRedshiftの機能は何か？,Redshift Spectrum,Japanese,ja-JP,ja-JP,,,,,,,,,,,,,,,,,,,,,
Route 53で「言語の出し分け」「国ごとのコンテンツ切り替え」 が目的 のルーティングは何か？,位置情報ルーティング,Japanese,ja-JP,ja-JP,,,,,,,,,,,,,,,,,,,,,
Route 53で「物理的な距離の近さ」「バイアスを使ったエリア調整」 が目的のルーティングは何か？,地理的近接性ルーティング,Japanese,ja-JP,ja-JP,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
