FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
複数のサーバーから同時に読み書きできる、容量無制限の共有フォルダで、AWSでよく比較されるEBS（外付けハードディスクのようなもの）が基本1対1で接続するのに対し、ネットワーク越しに大人数で使う「NAS（Network Attached Storage）」のような役割を果たすサービスは何？NFSv4プロトコルを利用。データファイルは複数AZに分散して保存されている。,EFS,EFS,ja-JP,ja-JP
EFSの「データがどこにあるか？」と聞かれたら、物理的には「複数のAZ」です。しかしアーキテクチャ上の分類としては、あるAZが消えても、データの実体は別のAZに残っているため、ファイルシステム自体は生き残りますよね。なので、保管先はどこと言えるのか？,AZの壁を超越したリージョン,EFS,ja-JP,ja-JP
EFSは複数のアベイラビリティゾーン（AZ）にまたがるサービスですが、EC2から接続するためには、各サブネットの中に「接続先となるIPアドレス」が必要です。このIPアドレスを持つネットワークインターフェース（ENI）を何と呼ぶか？,マウントターゲット,EFS,ja-JP,ja-JP
EC2からEFSにアクセスするには何を中継するか？EFSは最初から「複数のアベイラビリティゾーン（AZ）で共有する」ことを前提としたサービスです。各AZに「マウント（接続）するための専用の標的（ターゲット）」を設置するというニュアンスが強いため、この名前になっています。,マウントターゲット,EFS,ja-JP,ja-JP
EC2からFSXにアクセスするには何を中継するか？FSxは、Windows Serverなどの「ファイルサーバーそのもの」がAWSの管理下で動いています。そのサーバーが自分のVPCの中に「ネットワークカードを1本挿して参加している」という構造に見えるため、このような呼び方をします,ENI,EFS,ja-JP,ja-JP
EFSへのEC2インスタンスからのアクセスはマウントターゲットを経由するが、どうやってアクセス制御するのか？,マウントターゲットにアタッチしたSG,EFS,ja-JP,ja-JP
FSXへのEC2インスタンスからのアクセスはENIを経由するが、どうやってアクセス制御するのか？E,NIにアタッチしたSG,EFS,ja-JP,ja-JP
NFSv4プロトコルを利用したストレージは何？,EFS,EFS,ja-JP,ja-JP
EFSのスループット方式の3種類は何？①一時的なピーク時は「クレジット」を消費して加速。②保存容量に関係なく、例えば「常に 500 MiB/s」と設定できます。③アプリケーションの要求に合わせて自動でスケールします。,"①バースト
②プロビジョニングIO
③Elastic",EFS,ja-JP,ja-JP
あまり使わないデータを安く置くための、EFSの貯蔵庫は何とよばれますか？圧倒的な安さで、同じパフォーマンス: IAに移動したからといって、読み書きの速度が極端に落ちるわけではありません。アクセスした際のレイテンシ（反応速度）は、標準クラスとほぼ同等です。トレージ料金は安いですが、「データの読み書き（アクセス）」が発生するたびに料金（データ転送量）がかかります。,EFS IA（Infrequent Access：低頻度アクセス）,EFS,ja-JP,ja-JP
"EFSのスループットモード３種類は何か？
①突発的な変動に自動追従        アクセスがスパイクするアプリ、予測困難な負荷
②ストレージ容量に応じた性能（貯金型）        定常的な低負荷、たまにだけバーストが必要
③指定した帯域を常に確保        負荷が一定で高い、性能が予測可能な場合","①エラスティック	突発的な変動に自動追従	アクセスがスパイクするアプリ、予測困難な負荷
②バースト	ストレージ容量に応じた性能（貯金型）	定常的な低負荷、たまにだけバーストが必要
③プロビジョニング	指定した帯域を常に確保	負荷が一定で高い、性能が予測可能な場合",EFS,ja-JP,ja-JP
"EFSのスループットモードの判断軸を持っておくと確実です。
**「突発的なアクセス増加（Spiky workload）」**というキーワードが出たら ",エラスティックスループットを選ぶ。,EFS,ja-JP,ja-JP
"EFSのスループットモードの判断軸を持っておくと確実です。
**「性能が一貫して高い必要がある」**というキーワードが出たら ",プロビジョニングスループットを選ぶ。,EFS,ja-JP,ja-JP
"EFSのスループットモードの判断軸を持っておくと確実です。
**「低コストで、負荷が低い」**というキーワードが出たら ", バーストスループットを選ぶ。,EFS,ja-JP,ja-JP
"Amazon EFSの２種類のストレージクラスは何と何か？
①標準
②低頻度","①標準ストレージクラス
②低頻度アクセスストレージクラス（EFS IA）",EFS,ja-JP,ja-JP
"Amazon EFSには、ワークロードの特性に合わせて選択できる2つのパフォーマンスモードがあります。何と何か？
①ほとんどのアプリケーションで推奨されるデフォルトのモードです。
②数百台、数千台のEC2インスタンスから一斉にアクセスするような大規模環境用です。","①**「汎用モード」
②「最大I/Oモード」「最大 I/O モード（Max I/O）」は、数十万の EC2 インスタンスからの同時アクセスなど、高度に並列化されたワークロード向けに高いスループット・IOPS を提供しますが、その代償としてオペレーションごとのレイテンシーが高くなるという特性があります。",EFS,ja-JP,ja-JP
「低レイテンシ」「応答性重視」「どれがいいか分からない / 一般的」の場合、Amazon EFSの、どのパフォーマンスモードを選択すべきか？,汎用モード,EFS,ja-JP,ja-JP
「数千のインスタンス」「高い集約スループット」の場合、Amazon EFSの、どのパフォーマンスモードを選択すべきか？,最大I/Oモード,EFS,ja-JP,ja-JP
大量に流れ込んでくるログ、センサーデータ（IoT）、クリックストリームなどの絶え間なく発生するリアルタイムデータを、交通整理して次に受け渡すための、4つのサービスで構成されたストリーミング基盤を何と呼ぶか？,Kinesis,Kinesis,ja-JP,ja-JP
Kinesisを構成する4つのサービスは何？,"Data Streams
Video Streams
Data Firehose
旧Data Analytics：新Managed Service for Apache Flink",Kinesis,ja-JP,ja-JP
流れてくるデータに対して、独自の複雑な分析アプリをリアルタイムで走らせたいときに使うサービスで、超高速・大容量のデータをリアルタイムで収集・一時保管し、次の処理へ受け渡すためのストリーミング基盤のサービスは何？ミリ秒単位。データが発生した瞬間に反応させたい場合に使う。シャードに蓄積し、誰かが取りに来るのを待つ「ハブ」の役割です。自分から外部ストレージにデータを書き込みに行く機能（プッシュ機能）を持っていません。,Kinesis Data Streams (KDS) ,Kinesis,ja-JP,ja-JP
