FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
開発（Development）」と「運用（Operations）」が密に連携し、システムの価値をより速く、より高い品質でユーザーに届け続けるための考え方や仕組み**のことを何と呼ぶか？かつては「作る人（開発）」と「守る人（運用）」が分断されがちでしたが、その壁を取り払うことができます。,DevOps（デブオプス）,CloudFormation,ja-JP,ja-JP
環境を自動化することで開発速度を高めつつ、何と何を実現するか？①②,"①DevOps：「開発（Development）」と「運用（Operations）」が密に連携する仕組みを「コード」に落とし込み、人間はより高度な判断や創造的な仕事に集中する。
②CI/CD：CI (Continuous Integration: 継続的インテグレーション)、CD (Continuous Delivery/Deployment: 継続的デリバリー/デプロイ)",CloudFormation,ja-JP,ja-JP
開発コードのGit上のコミット・実行・デプロイを自動化する。PipelineはCloudFormationとECSのデプロイ自動化にも利用可能,Codeシリーズ,CloudFormation,ja-JP,ja-JP
ソフトウェア開発プロジェクトを迅速に開始するためのダッシュボード型サービスです。CodeCommit、CodeBuild、CodeDeploy、CodePipeline などの「Codeシリーズ」を、一つのプロジェクトとして自動的にセットアップ・統合し、特定のプログラミング言語（Java、 Python、 JSなど）やデプロイ先（EC2、 Lambda、 Elastic Beanstalk）に合わせたテンプレートを選択するだけで、CI/CD パイプラインを自動構築する自動化サービスは何か？,CodeStar,CloudFormation,ja-JP,ja-JP
CodeStar のコンセプト（プロジェクト管理の統合）をさらに発展させ、CI/CD だけでなく、開発環境の構築からチーム連携までを一つの「統合ソフトウェア開発サービス」として提供するサービスは何か？,CodeCatalyst ,CloudFormation,ja-JP,ja-JP
ソフトウェアのリリースを自動化するための司令塔（オーケストレーター）」**で、ソースコードを修正してから、ビルド、テストを経て、実際にユーザーが使う環境にデプロイ（展開）されるまでの全工程を一本の「パイプ」のようにつなぎ、自動で流れるように管理するサービスは何？,CodePipeline,CloudFormation,ja-JP,ja-JP
Codeシリーズの単機能ツール。AWS版のGitHub。コードを保存する場所です。,CodeCommit,CloudFormation,ja-JP,ja-JP
Codeシリーズの単機能ツール。ビルドとテスト。コードをコンパイルしたり、テストコードを実行したりします。,CodeBuild,CloudFormation,ja-JP,ja-JP
Codeシリーズの単機能ツール。EC2、Lambda、ECS、Beanstalkなどにプログラムを配布・反映させます。,CodeDeploy,CloudFormation,ja-JP,ja-JP
Codeシリーズの単機能ツール。自動化の司令塔（オーケストレーター）。上記の「Commit → Build → Deploy」の一連の流れをつなぎ、自動で実行させます。,CodePipeline,CloudFormation,ja-JP,ja-JP
統合・進化版サービス（まとめ役）Codeシリーズの進化系であり、GitHubやJiraのような機能まで取り込んだ**統合開発環境（Unified Software Development Service）**を何と呼ぶ？「Blueprints」**という機能で、プロジェクト構成だけでなくCI/CDやテスト環境まで一瞬で作成可能。**「Dev Environments」**というクラウド上の開発環境（エディタ）も提供。,CodeCatalyst ,CloudFormation,ja-JP,ja-JP
