FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
分析のカテゴリー行くよ！,がんばれ！,Japanese,ja-JP,ja-JP
【頻出】S3上のデータに対して標準SQLを使用して直接分析を実行。サーバーレス。 Key=S3への直接クエリ、 サーバーレス、 標準SQL,Amazon Athena,Japanese,ja-JP,ja-JP
サードパーティのデータをAWS上で簡単に見つけ、購入し、使用できる。 Key=サードパーティデータ、 データセットのサブスクリプション,AWS Data Exchange,Japanese,ja-JP,ja-JP
異なるAWSサービス間やオンプレミス間で、指定した間隔でデータの移動や変換を自動化。 Key=スケジュール実行、 データ移動の自動化、 ETL,AWS Data Pipeline,Japanese,ja-JP,ja-JP
【頻出】Apache SparkやHadoopなどのフレームワークを使用して、大量のデータを処理するビッグデータプラットフォーム。 Key=Hadoop/Spark、 ビッグデータ、 大規模な分散処理,Amazon EMR,Japanese,ja-JP,ja-JP
フルマネージドなデータ抽出・変換・ロード（ETL）サービス。データカタログを作成し、データの分類や整理を行う。 Key=ETL、 データカタログ、 サーバーレス,AWS Glue,Japanese,ja-JP,ja-JP
リアルタイムでのストリーミングデータの収集、処理、分析。 Key=ストリーミング、 リアルタイム、 低レイテンシー,Amazon Kinesis,Japanese,ja-JP,ja-JP
数日で安全なデータレイクをセットアップ。データの収集、クレンジング、カタログ化、およびアクセス制御を統合。 Key=データレイクの構築・管理、 セキュリティの一元化,AWS Lake Formation,Japanese,ja-JP,ja-JP
Apache Kafkaを使用したストリーミングデータの処理を、インフラ管理なしで実行。 Key=フルマネージドKafka、 オープンソース互換,Amazon Managed Streaming for Apache Kafka (Amazon MSK),Japanese,ja-JP,ja-JP
ログ分析、リアルタイムのアプリケーションモニタリング、全文検索を実行。 Key=ログ分析、 全文検索、 ダッシュボード,Amazon OpenSearch Service,Japanese,ja-JP,ja-JP
高速でクラウドネイティブなビジネスインテリジェンス（BI）サービス。データの可視化とダッシュボード作成。 Key=可視化、 BIツール、 SPICEエンジン,Amazon QuickSight,Japanese,ja-JP,ja-JP
【頻出】高速でフルマネージドなデータウェアハウス（DWH）。複雑なクエリや大規模なデータセットに対する分析。 Key=DWH、 列指向ストレージ、 OLAP,Amazon Redshift,Japanese,ja-JP,ja-JP
コンピューティングのカテゴリー行くよ！,がんばれ！,Japanese,ja-JP,ja-JP
【頻出】数十万件のバッチ計算ジョブを効率的に実行するためのフルマネージド型サービス。コンピューティングリソースを動的にプロビジョニングし、ジョブの優先順位付けを行う。 Key=バッチ処理、ハイパフォーマンスコンピューティング(HPC)、ジョブキュー,AWS Batch,Japanese,ja-JP,ja-JP
【頻出】安全でサイズ変更可能なコンピューティングキャパシティをクラウド内で提供する仮想サーバー。インスタンスタイプを選択し、必要に応じてスケーリングが可能。 Key=仮想サーバー、AMI、インスタンスタイプ、従量課金、共有責任モデル,Amazon EC2,Japanese,ja-JP,ja-JP
