FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
Snowball Edgeの大きく2種類は何？,"Snowball Edge Storage Optimized
Snowball Edge Compute Optimized",移行,ja-JP,ja-JP
以前の「Snowball Edge Storage Optimized」の標準的な容量は80TBでしたが、現在の最新世代で提供されている容量は何TBか？,210TB,移行,ja-JP,ja-JP
超大容量データを AWS に移動するために使用できるエクサバイト規模のデータ転送サービス,Snowmobile,移行,ja-JP,ja-JP
物理ストレージデバイスをオンプレミス環境に配置して、エッジ環境での高速データ処理を実施する、エッジコンピューティングのデバイス,Snowcone,移行,ja-JP,ja-JP
オンプレミス環境のサーバーの設定データや使用状況データなどを収集して、サーバーの依存関係マッピングなどの移行に必要な情報を抽出することで移行計画の準備を支援するサービス。サーバーの使用率データや依存関係のマッピングなどの移行に必要な情報を提供するサービス,AWS Application Discovery Service,移行,ja-JP,ja-JP
ソースデータベーススキーマやデータベースコードオブジェクトの大部分を自動的にターゲットデータベース互換フォーマットへと変換するツール。ソースデータベーススキーマやデータベースコードオブジェクトの大部分を自動的にターゲットデータベース互換フォーマットへと変換するツール,AWS Schema Conversion Tool (SCT),移行,ja-JP,ja-JP
データベースを短期間に安全にAWSに移行する際に利用するサービス。AWSのデータベース間の移行にも利用される。データベースを短期間で安全に AWS に移行することが可能なデータベース移行ツール,AWS Database Migration Service (DMS),移行,ja-JP,ja-JP
物理、仮想およびクラウド環境にあるインフラからソースサーバーをAWSで利用可能なように変換して、効率的なサーバー移行を可能にする支援ツール,AWS Application Migration Service (AWS MGN),移行,ja-JP,ja-JP
仮想マシンイメージを既存の環境から Amazon EC2 インスタンスにインポートすることや、元のオンプレミス環境にエクスポートを実行,VM Import/Export,移行,ja-JP,ja-JP
移行元サーバーに導入したエージェントを介してディスクイメージを転送し EC2 に変換して移行するサービス。BCP向けにイメージ転送を継続する機能などが提供されている,CloudEndure,移行,ja-JP,ja-JP
各移行ツールの実行状況を追跡できるダッシュボードサービス。各移行ツールの実行状況を追跡できるダッシュボードサービス,AWS Migration Hub,移行,ja-JP,ja-JP
オンプレミスのストレージと、S3またはEFSとの間のデータ転送を自動化するサービス。オンプレミス環境側にDataSync Agentをデプロイしてデータを転送する。S3やEFSにストレージデータを移行する際に利用するサービス,AWS DataSync,移行,ja-JP,ja-JP
AWS DataSyncは「バッチ的なデータ移動（移行・同期）」のためのツールですが、Webアプリケーションの裏側でユーザーのアップロードをリアルタイムに処理するような「ライブなデータ受付」はできますか？なおDataSyncは、あらかじめ指定された「ソース（移行元）」と「デスティネーション（移行先）」の間で、ファイルに差分がないかをスキャンし、一括でコピーする仕組みです。,できない。ユーザーがファイルを送ってきた瞬間に、即座にそれを受け取り、保存完了をレスポンスとして返す必要があります。DataSyncには「HTTPリクエストを待ち受けて、その中身を保存する」というインターフェース（APIエンドポイント）がありません。,移行,ja-JP,ja-JP
SFTP、FTPおよびFTPSに対応したデータ転送サービス。S3バケットにファイルをアップロードする際に使用できる,AWS Transfer Family,移行,ja-JP,ja-JP
**「Windows上でアプリケーションを開発・実行するための、マイクロソフトが提供する基盤（プラットフォーム）」**を何プラットフォームと呼ぶか？プログラミング言語（C#、VB.NETなど）で書かれたプログラムを、Windowsが理解して動かせるようにするための「部品」や「ルール」が詰め込まれた箱のようなものです。プログラマがゼロからすべてを作る必要がないよう、よく使う機能（データの保存、ネットワーク通信、画面表示など）を「ライブラリ」としてあらかじめ用意しています。現在はメジャーアップデートが終了しており、メンテナンスフェーズにあります。インターネット（.netドメイン）とネットワークを融合させ、**「あらゆるソフトウェアをインターネット上でサービスとしてつなぐ」**という当時の強い意志が込められています。,.NET Framework,移行,ja-JP,ja-JP
Windows Server 2016仮想サーバーにホストされた.NET Frameworkアプリケーションのコードやバージョンを変更することなく、そのままAWS環境に移行するときに使うサービスは何？,Application Migration Service(AWS MGN),移行,ja-JP,ja-JP
データベースにおける「変更データキャプチャ」の略称で、データベースの「データが更新された（INSERT/UPDATE/DELETEされた）その変更履歴だけを追跡し、別の場所へリアルタイムに複製する技術や仕組み」**この技術や仕組みを何と呼ぶか？英３文字。データベース移行や、分析基盤（データレイク）構築において非常に重要な技術です。データベースの**「トランザクションログ（バイナリログやRedoログなど）」**を読み取ることで実現されます。データベースが行ったすべての操作ログ（誰が、何を、どう変えたか）を監視します。変更が発生した瞬間に、その「変更内容（差分）」だけを抽出します。抽出した差分を、ターゲットとなる別のデータベースや分析基盤に順次書き込みます。,**CDC（Change Data Capture）,移行,ja-JP,ja-JP
"AWSサイト間VPNを経由してオンプレミスのOracleからAmazon Aurora PostgreSQLへデータを移行し、かつ変更をキャプチャするシーンで、必要となるサービス２つと技術仕組みは何か？
①異種間
②データベース移行
③移行中の元データベースの変更対策","①Schema Conversion Tool (AWS SCT) 
②Database Migration Service (AWS DMS) 
③CDC（Change Data Capture）",移行,ja-JP,ja-JP
クラウド移行（マイグレーション）の手法の一つで、「既存のシステムを、構成やプログラムをほとんど変えずに、そのままクラウド環境へ丸ごと移し替える」**方法のことを一般的に何と呼ぶか？「持ち上げて、移動させる」という言葉通り、オンプレミス（自社運用）で動いているサーバーやデータベースを、そのままクラウド上の仮想マシン（AWSであればEC2など）にコピーするイメージです。AWSの「移行の6つのR（6Rs）」という戦略の中では、**「Rehosting（リホスティング）」**と呼ばれます。,リフトアンドシフト（Lift and Shift）,移行,ja-JP,ja-JP
アプリケーションの「リフトアンドシフト (再ホスト)」戦略において、移行を簡素化、迅速化し、コストを削減するために推奨される主要なサービスは何か？,AWS Application Migration Service (MGN) ,移行,ja-JP,ja-JP
AWS Application Migration Service を使用したリフトアンドシフト移行のベストプラクティスに沿った正確な手順は、「ＸＸＸＸをインストールしてデータを収集・レプリケートし、ＸＸＸＸインスタンスでの検証を経て、最終的にＸＸＸＸインスタンスへ切り替える」です,「AWS Replication Agentをインストールしてデータを収集・レプリケートし、テストインスタンスでの検証を経て、最終的にカットオーバーインスタンスへ切り替える」,移行,ja-JP,ja-JP
「本番環境に影響を与えないために、検証・実験目的で一時的に作成するサーバー（EC2インスタンスなど）」**を指すのは、何インスタンスか？AWSでは、本番環境とテスト環境を分離するのが「ベストプラクティス」です。,「テストインスタンス」,移行,ja-JP,ja-JP
「新しく作ったシステムを稼働させ、それまでの旧システムを停止して本番運用に切り替えること」**を何と呼ぶか？システム開発のプロジェクトにおいて、まさに「今日から本番！」という切り替えの瞬間のことです。旧システムと新システムの両方を動かす、あるいはデータの同期を取る。ユーザーからのアクセス先を、旧システムから新システム（AWS上のサーバーなど）へ完全に切り替える。旧システムを停止し、廃棄または撤去する。,カットオーバー（Cutover）,移行,ja-JP,ja-JP
「本番稼働開始」を意味する非常に一般的な用語ですが、その語源には「古いものから新しいものへ切り替える」という物理的なニュアンスが含まれています。この英語は何か？,"「Cutover」物理的な「切り替え」
Cut（切る）: 古い接続やシステムを遮断・停止する。
Over（越えて・移行して）: 新しい接続やシステムへ橋渡しする。",移行,ja-JP,ja-JP
"試験で「オンプレミスから S3 へのデータ移動」が出た場合、次の各シーンごとで使用するサービスを答えなさい？
①オンプレミスの「ファイル（NFS/SMB）」を「定期的・自動的」に同期したいとき。（今回のケース）
②オンプレミスのアプリが、S3 を「あたかも手元のハードディスク」のようにリアルタイムで使いたいとき。
③インターネット経由では数ヶ月かかるような「超大容量（数十TB〜）」を物理的に運びたいとき。
④SFTP / FTPS / AS2 プロトコルを使って、特定の相手とファイルをやり取りしたいとき。","①AWS DataSync: オンプレミスの「ファイル（NFS/SMB）」を「定期的・自動的」に同期したいとき。（今回のケース）
②Storage Gateway: オンプレミスのアプリが、S3 を「あたかも手元のハードディスク」のようにリアルタイムで使いたいとき。
③Snowball Edge: インターネット経由では数ヶ月かかるような「超大容量（数十TB〜）」を物理的に運びたいとき。
④Transfer Family: SFTP / FTPS / AS2 プロトコルを使って、特定の相手とファイルをやり取りしたいとき。",移行,ja-JP,ja-JP
オンプレミス環境（自社ビルやデータセンター）のストレージからデータを読み取り、AWSへ安全に転送するための「仲介役」となるソフトウェアで、「データの送信元（オンプレミス側）」にインストールするのは何か？イメージとしては、**「オンプレミス側の出口に立つ、荷物の集荷・梱包・発送係」**です,DataSyncエージェント,移行,ja-JP,ja-JP
オンプレからS3にDataSynCでデータ転送するときは、必ずDataSyncエージェントは必要になるのか？,はい,移行,ja-JP,ja-JP
"DataSyncはオンプレミス専用だと思われがちですが、実は AWS内のストレージ間でのデータ移動 にも使われます。この場合はDataSyncエージェントは必要なのか？
S3 ⇔ S3: 異なるリージョンやアカウント間での同期。
EFS ⇔ S3: ファイルシステムからオブジェクトストレージへの移行。
FSx ⇔ S3: WindowsファイルサーバーからS3へのバックアップなど。",不要：AWSが裏側で転送リソースを管理するため、ユーザーがエージェント（仮想マシン）を用意・管理する手間はゼロになります。,移行,ja-JP,ja-JP
数千のオンプレミスワークロード・サーバーを従来よりも簡単に、かつ短時間で AWS に移行できるエージェントレスサービス,Server Migration Service,機械学習,ja-JP,ja-JP
テキストから感情、エンティティ、キーフレーズを抽出。自然言語処理 (NLP),Amazon Comprehend,機械学習,ja-JP,ja-JP
過去のデータに基づき、将来の需要や売上を予測。時系列予測。2024年に、新規利用が停止されてしまいました。,Amazon Forecast,機械学習,ja-JP,ja-JP
オンライン詐欺（不正支払い、偽アカウント）を自動検知。不正検知,Amazon Fraud Detector,機械学習,ja-JP,ja-JP
機械学習を活用した高精度な社内ドキュメント検索。エンタープライズ検索,Amazon Kendra,機械学習,ja-JP,ja-JP
スキャンした書類からテキストだけでなく、表やフォームを抽出。文書からのデータ抽出,Amazon Textract：Text （テキスト：文字、文章）Extract （抽出する：取り出す）単なる文字認識だけでなく、請求書の「合計金額」や「日付」、あるいは「表（テーブル）」の構造を認識し、どの項目がどの値に対応しているかを理解して取り出します。,機械学習,ja-JP,ja-JP
多言語間のテキスト翻訳。機械翻訳,Amazon Translate,機械学習,ja-JP,ja-JP
顔認識、物体検知、不適切なコンテンツの検出。画像・動画分析,Amazon Rekognition,機械学習,ja-JP,ja-JP
文章を自然な音声に変換。MP3などの作成が可能。テキスト読み上げ (TTS),Amazon Polly,機械学習,ja-JP,ja-JP
音声やテキストによる対話型インターフェース（Alexaと同技術）。チャットボット構築,Amazon Lex,機械学習,ja-JP,ja-JP
音声をテキストに変換。字幕作成や議事録に利用。音声文字起こし (ASR),Amazon Transcribe：Trans-（越えて、変換して）Scribere / Script（書く、記録する）これらが組み合わさり、**「ある形式（音声）から別の形式（文字）へ書き写す」*,機械学習,ja-JP,ja-JP
機械学習の全工程をカバーするフルマネージドプラットフォーム。MLモデル構築・訓練・デプロイ,Amazon SageMaker,機械学習,ja-JP,ja-JP
クラウド上のサードパーティ製データを簡単に検索・購読。サードパーティデータの利用,AWS Data Exchange,機械学習,ja-JP,ja-JP
健康診断データの抽出において、最適なサービスは何か？汎用的な自然言語処理とは異なり、医療テキスト（医師のメモ、検査報告書など）から、投薬、診断、処置、および PHI（保護対象保健情報） を高精度に識別・抽出するように事前トレーニングされています。機械学習モデルを自前で構築・トレーニングする必要がなく、APIを呼び出すだけで非構造化テキストから構造化データ（ICD-10-CMやRxNormなどの医療オントロジーへのリンクを含む）を取得できるため、開発と運用のコストを大幅に削減できます。,Comprehend Medical ,機械学習,ja-JP,ja-JP
