FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
一般的なウェブの脆弱性からウェブアプリケーションまたは API を保護するファイアウォールサービス,AWS WAF,セキュリティ,ja-JP,ja-JP
分散サービス妨害 (DDoS) 攻撃から AWS リソースを保護するサービス,AWS Shield,セキュリティ,ja-JP,ja-JP
AWS Shieldの StandardとAdvancedの見分け方。L3/L4（ネットワーク/トランスポート層）、「基本的なDDoS対策」,Standard,セキュリティ,ja-JP,ja-JP
AWS Shieldの StandardとAdvancedの見分け方。『高度な保護・可視性・コスト管理』L3/L4 ＋ L7（アプリケーション層）、AdvancedはWAFと連携してL7攻撃（HTTPフラッドなど）も防御、「DDoSコスト保護 (Cost Protection)」**があり、DDoS攻撃によるAuto Scalingのスケーリング費用などを補填してくれます。「専門チームによるサポートや、攻撃のカスタマイズ対応が必要」「より詳細な可視性やレポートが欲しい」24/7のサポート,Advanced,セキュリティ,ja-JP,ja-JP
1日 24 時間 (24 hours a day)、1週間 7 日間 (7 days a week)、休みなく、いつでも誰かの助けやサービスがそこにある」**を何のサポートとよぶか？,24/7のサポート,セキュリティ,ja-JP,ja-JP
VPC に対して悪意のあるアクティビティの拡散を防ぐなど、ネットワークトラフィックを詳細まで制御できるファイアウォールルールを定義するサービス,AWS Network Firewall,セキュリティ,ja-JP,ja-JP
AWS Organizations にあるアカウントとアプリケーション全体で一元的にファイアウォールのルールを設定、管理できるようにするセキュリティ管理サービス,AWS Firewall Manager,セキュリティ,ja-JP,ja-JP
セキュリティのベストプラクティスのチェックを行い、アラートを集約し、自動修復を可能にするクラウドセキュリティ体制管理サービス,AWS Security Hub,セキュリティ,ja-JP,ja-JP
（暗号化）暗号化用のキーを作成・管理するサービス。幅広い AWS のサービスやアプリケーションの暗号化を制御することができる。暗号化に利用するマスターキーを作成・管理するサービス,AWS Key Management Service (KMS),セキュリティ,ja-JP,ja-JP
（暗号化）SSL/TLS証明書を作成・管理するサービス。CloudFrontやELBに証明書を設定して通信を暗号化する。,AWS Certificate Manager (ACM),セキュリティ,ja-JP,ja-JP
（暗号化）クラウドベースのハードウェアセキュリティモジュール (HSM) で、業界標準のFIPS 140-2 のレベル 3 認証済みの HSM を使用して、暗号化キーを管理する。,AWS CloudHSM,セキュリティ,ja-JP,ja-JP
アプリケーションで使用するパスワードやAPIキーなどの「機密情報」を安全に管理して、自動ローテーションなどシークレットのライフサイクル管理が可能なサービスは何？機密情報の保護: データベースの認証情報やパスワード、APIキーなどをプレーンテキストでコードに書き込むのではなく、集中管理された安全な場所に保存します。自動ローテーション: データベース（RDSなど）のパスワードを、設定したスケジュールに従って自動的に更新する機能があります。これにより、パスワードが漏洩した際のリスクを低減できます。アクセス制御: 誰が、いつ、どの秘密情報にアクセスできるかをIAMポリシーを使って詳細に制御できます。,Secrets Manager,セキュリティ,ja-JP,ja-JP
Systems Manager（SSM）は、AWS上のリソース（EC2インスタンスやオンプレミスサーバーなど）を一元管理するための運用ツール群は何？個別のサーバーにログインすることなく、安全に設定変更やパッチ適用、コマンド実行を行うための「運用管理の司令塔」として登場します。1. Session Manager（セッションマネージャー）ブラウザからログイン: SSHキー（鍵ファイル）を使わずに、ブラウザやCLIからインスタンスに安全にログインできます。2. Parameter Store（パラメータストア）設定値の管理: パスワードやDB接続先、AMI IDなどの設定値を一元管理します。「無料（標準タイプの場合）」で「自動ローテーション機能がない」点が特徴です。3. Patch Manager（パッチマネージャー）自動パッチ適用: OSのセキュリティアップデートなどをスケジュールに基づいて自動的に実行します。4. Run Command（ランコマンド）一括操作: 数十台、数百台のサーバーに対して、ログインすることなく一斉にシェルスクリプトやコマンドを実行できます。,Systems Manager,セキュリティ,ja-JP,ja-JP
（自動検知）悪意のある操作や不正なトラフィック通信を継続的にモニタリングする脅威検出サービス。機械学習を使った自動検出が可能。,Amazon GuardDuty,セキュリティ,ja-JP,ja-JP
（自動検知）ソフトウェアの脆弱性や意図しないネットワークのエクスポージャーがないか継続的に AWS ワークロードをスキャンする自動脆弱性管理サービス,Amazon Inspector,セキュリティ,ja-JP,ja-JP
（自動検知）S3のデータを機械学習によって自動的に検出、分類、保護するサービス。不正アクセスやデータ漏洩などを監視する。,Amazon Macie,セキュリティ,ja-JP,ja-JP
（自動検知）CloudTrailのログ、VPCフローログ、GuardDutyの結果を自動収集して、潜在的なセキュリティ案件を分析するサービス,Amazon Detective,セキュリティ,ja-JP,ja-JP
監査上のメリットのために、「AWSが安全であることを証明した『結果』を、ユーザーが自分の報告書などにそのまま使える（引き継げる）」これを何と呼ぶ？つまり、もしあなたが「自分のシステムのセキュリティは万全か？」と誰かに聞かれたら、こう答えることができます。「物理的なセキュリティについては、AWSの安全性をそのまま#######している（引き継いでいる）ので、私が対策しなくても最初から安全です」,継承,セキュリティ,ja-JP,ja-JP
KMSの主流の暗号化は、何暗号化か？,エンベロープ暗号化：エンベロープ（Envelope）「封筒」。「手紙を封筒に入れて、その封筒に鍵をかける」**という構造にそっくりだからです。,セキュリティ,ja-JP,ja-JP
エンベロープ暗号化で登場する3つの鍵は何。,"KMSキー
使える状態のデータキー
KMSキーで暗号化済みのデータキー",セキュリティ,ja-JP,ja-JP
