FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
サーバーレスは、設計思想自体が「イベント駆動」、つまり「リクエストが来た時だけ動く」という仕組みなので、呼び出し側は、例えばLambdaのサーバーの状態を一切気にする必要がありません。これによってもたらされる効果は何結合か？,疎結合,サーバレス,ja-JP,ja-JP
「疎結合（Decoupling）」を実現するための最重要サービスで、「処理を依頼する側（送信者）」と「処理を実行する側（受信者）」の間に置く、メッセージの保管箱（キュー）を使って、タスクのトリガーとなるキューを複数管理することで、ワークロードの並列実行を実現するキューイングサービスを何と呼ぶか？,SQS,サーバレス,ja-JP,ja-JP
SQSの実行順番は、デフォルトは「標準キュー」つまり、順序の保証がない、重複の可能性があります。「絶対に順番を守りたい！」「二重取り込みは困る！」という場合には、何をするべきか？,「FIFOキュー」はを明示的に選択する,サーバレス,ja-JP,ja-JP
SQSキューが満杯になってしまう不具合を解決する方法は？,"インスタンスあたりのバックログ（Backlog per instance）」 を指標にしてターゲット追跡でAutoScalingする。
なおCPU使用率ではダメな理由は、CPU使用率と「本当の忙しさ」が一致しないから。たとえば、メッセージの処理内容が「外部APIを叩いて返信を待つ」ようなネットワーク待ちが多い場合、CPUは全然使いませんが、SQSにはメッセージがどんどん溜まってしまいます（処理が追いつかない）。",サーバレス,ja-JP,ja-JP
SQSなどのメッセージキューイングサービスにおいて、「可視性タイムアウト（Visibility Timeout）」が短すぎることで発生している不具合は何か？,"重複処理が発生する：通常、SQSでは、インスタンスAがメッセージを受信する、そのメッセージは他の人から見えない状態（可視性タイムアウト期間）になる、インスタンスAが処理を完了し、メッセージを削除する。
しかし、「タイムアウト期間」よりも、インスタンスAの「処理時間」が長くなってしまうと、タイムアウトが終了し、メッセージが再びキューに現れる。インスタンスBが「あ、新しいメッセージだ」と思って同じメッセージを受信してしまう。結果として、AとBの両方で同じデータが処理される（重複）。",サーバレス,ja-JP,ja-JP
SQSの、重複処理してしまう不具合を解決するための３つの手段を言え？①「設定で解決したい」 ②「DBの設計で解決したい」③「順序通りに、かつ1回だけ確実に処理したい」 ,"①「設定で解決したい」 → 可視性タイムアウト (Visibility Timeout) を増やす。
②「設計で解決したい」 → べき等性 (「ある操作を1回行っても、100回行っても、結果が同じになること」) をDBやアプリケーションに持たせる。
③「順序通りに、かつ1回だけ確実に処理したい」 → SQS FIFOキュー を使用する。",サーバレス,ja-JP,ja-JP
SNS（Simple Notification Service）において、「パブリッシャとサブスクライバー（受信者）を仲介する論理的な接続ポイント」を何と呼ぶか？,SNSトピック,サーバレス,ja-JP,ja-JP
メッセージの「送り主」です。SNSトピックに対してメッセージを発行（Publish）する人やアプリケーションを何と呼ぶか？今回で言えば「注文を受け付けたWebアプリケーション」。,パブリッシャ (Publisher),サーバレス,ja-JP,ja-JP
メッセージの「論理的な配信先（チャネル）」です。パブリッシャは特定の何々？に対してメッセージを発行します。どのサブスクライバーにメッセージを届けるかを管理するハブのような役割です。,トピック (Topic),サーバレス,ja-JP,ja-JP
トピックを通じて配信される「データそのもの」です。,メッセージ (Message),サーバレス,ja-JP,ja-JP
トピックに登録（Subscribe）している「メッセージの受信者」を何と呼ぶか？メッセージを受け取って、その後の処理を行います。,サブスクライバー (Subscriber),サーバレス,ja-JP,ja-JP
Lambdaを「ルーティング（振り分け）」というロジックのために使うのは、AWSではアンチパターンです。最も堅牢で運用負荷の低い設計にするためには、Lambdaは「注文を処理する」というビジネスロジックだけに集中させて、ルーティング（メッセージの配送制御）は何サービスに任せるべきか？２つ,SNS/SQS,サーバレス,ja-JP,ja-JP
完全マネージド型 pub/sub メッセージングを実施するサービス。メール通知やプッシュ通知による連携処理に利用する、疎結合実現のサービスは何か？,SNS,サーバレス,ja-JP,ja-JP
完全マネージド型のキューイングサービス。ポーリング処理によるタスクの並行実施に利用する、疎結合実現のサービスは何か？,SQS,サーバレス,ja-JP,ja-JP
SQSキューに溜まったメッセージを読み取り、処理を実行する側**のことを何と呼ぶか？,"SQSにおける**コンシューマー（Consumer）：SQSを「郵便局のポスト」、メッセージを「手紙」と例えるなら、コンシューマーは**「ポストから手紙を取り出して中身を読み、用件を済ませる人（またはプログラム）」**にあたります。
1. コンシューマーの主な役割：メッセージの取得 (ReceiveMessage): SQSのキューからメッセージを取り出します。メッセージの処理: メッセージの内容（JSON形式などが一般的）に従って、データベース更新、メール送信、API呼び出しなどの「本来やりたかった処理」を行います。メッセージの削除 (DeleteMessage): 処理が正常に完了したことをSQSに伝え、キューからそのメッセージを完全に削除します。",サーバレス,ja-JP,ja-JP
Eメール機能を可能にするサービス。アプリケーション上にEメール送受信機能を実装する際に利用する。安全、グローバル、大規模に Eメールを送信が可能になる、疎結合実現のサービスは何か？,SES,サーバレス,ja-JP,ja-JP
JMS、NMS、AMQP、STOMP、MQTT、WebSocket などの業界標準 API やメッセージング用プロトコルを使用するApache ActiveMQ 向けのマネージド型メッセージブローカーサービスで、疎結合実現のサービスは何か？,MQ,サーバレス,ja-JP,ja-JP
CloudWatchアラームの通知先として最も一般的に使われ、「メッセージの送り先をまとめるための『グループ』や『チャンネル』のようなものを何と呼ぶか？Amazon SNS（Simple Notification Service）を利用する際、送信者は特定の個人に直接メッセージを送るのではなく、このグループに対してメッセージを投げます。,「SNSトピック」,サーバレス,ja-JP,ja-JP
SNSの送信方法を３種類言え？①低コスト、運用管理アラート②緊急通知③モバイルに即座に,"①Eメール (Email)        低コスト、運用管理アラート        テキスト形式で届く。受信者が事前に承認（Confirm）する必要がある。
②SMS（ショートメッセージサービス）        緊急通知、MFA（多要素認証）        携帯電話番号宛。アプリ不要で即時性が高いが、送信コストがかかる。
③モバイルプッシュ        モバイルに即座に！        Apple (APNs) や Google (FCM) 経由。スマホアプリ画面に直接表示。",サーバレス,ja-JP,ja-JP
5MBまでの容量のあるデータをストリーム処理することが可能で、シャード単位でデータを順番通りに送信することができる、疎結合実現のサービスは何か？,Kinesis Data Streams,サーバレス,ja-JP,ja-JP
SQSからメッセージが取り出された後、処理担当のインスタンス以外からは一定時間（30秒～１2時間）キューが見えなくなる機能において、「他の消費者がそのメッセージを見ることができない（二重取り込みを防ぐ）」保留期間を何と呼ぶ？,可視性タイムアウト（Visibility Timeout）,サーバレス,ja-JP,ja-JP
ポーリング処理の方式で、**「今ある分だけすぐちょうだい！」**という聞き方は何ポーリングと呼ぶか？キュー（データの保管場所）にデータがあるかないかに関わらず、すぐに返事が返ってきます。データがなければ「空だよ」という返事が即座に来ます。データがなかなか届かない場合、「ありますか？」「ないです」「ありますか？」「ないです」というやり取りを何度も繰り返すことになり、通信回数が増えてコスト（料金）がかさみます。デフォルトの設定はこちら。,ショートポーリング,サーバレス,ja-JP,ja-JP
ポーリング処理の方式で、「届くまでしばらくここで待ってるね」**という聞き方は何ポーリングと呼ぶか？キューにデータがない場合、データが届くか、タイムアウト（最大20秒）になるまで接続を維持して待ち続けます。無駄な「空の返事」が減るため、APIの呼び出し回数が減り、料金が安くなります。レスポンス向上: データが届いた瞬間に受け取れるため、効率が良いです。実務や試験対策では、「コストを抑えたい」「空の応答を減らしたい」なら、このポーリングを選びます。,ロングポーリング,サーバレス,ja-JP,ja-JP
