FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
高い耐久性とスケーラビリティを備え、インターネット経由でどこからでもデータを保存・取得できるオブジェクトストレージサービスは何？Keyは、99.999999999%（11ナイン）の耐久性。ストレージクラス（Standard、 IA、 Glacier等）。ライフサイクルポリシー。バージョニング。バケットポリシー / IAMポリシー。署名付きURL。クロスリージョンレプリケーション (CRR)。静的ウェブサイトホスティング,S3,S3,ja-JP,ja-JP
S3の設置場所はどこでしょうか。,特定のリージョン,S3,ja-JP,ja-JP
S3を構成する階層を、最上位をS3として、下位に向かって順番に２つ言え。,S3、バケット、オブジェクト,S3,ja-JP,ja-JP
S3においてオブジェクトを格納するための最上位のコンテナであり、リージョンごとに作成される全世界で一意な名前を持つ保存場所で、Amazon S3 の基本構成単位（機能）を何と呼ぶ？,バケット,S3,ja-JP,ja-JP
S3に保存されるデータの基本単位であり、データ本体、一意なキー、およびメタデータで構成される管理要素。,オブジェクト,S3,ja-JP,ja-JP
S3においてオブジェクト名の先頭に付与される文字列のことで、論理的なフォルダ階層を構成し、パフォーマンスの分散や管理の単位として利用されます。,プレフィックス（Prefix）：pre-（前に） ＋ fix（固定する・据える）「言葉の前に置くもの」＝接頭辞という意味,S3,ja-JP,ja-JP
S3バケット内でデータを一意に特定するための「プレフィックス＋オブジェクト名（拡張子含む）」で構成されるフルパスを何と呼ぶか？実態は「オブジェクトの名前」ですが、S3はパソコンのハードディスク（ファイルシステム）とは違い、S3の構造が「キー・バリュー型（Key-Value）」のデータベースと同じ仕組みになっており、特定の「キー」を指定すると、それに対応する「バリュー」が瞬時に取り出される仕組みであるため、オブジェクトネームと呼ばずに、このように呼ばれます。,オブジェクトキー,S3,ja-JP,ja-JP
S3バケットに保存された各オブジェクトに割り当てられる、インターネット経由でアクセスするための固有のURLを何と呼ぶか？キーワードは、https://[バケット名].s3.[リージョン名].amazonaws.com/[オブジェクトキー],オブジェクトURL,S3,ja-JP,ja-JP
S3の単一のオブジェクト（ファイル）として保存できる最大サイズは5TBに制限されているが、S3バケット全体の総容量の制限は？,S3バケット全体の総容量は無制限,S3,ja-JP,ja-JP
S3の課金要素を３つ言え。,"保存容量
リクエスト回数
データ転送量アウト",S3,ja-JP,ja-JP
データの所有者ではなく、データをリクエスト（ダウンロード）した側が転送費用やリクエスト費用を負担することを、何支払いと呼ぶか,リクエスタ支払い,S3,ja-JP,ja-JP
S3でデフォルトで設定されている通信暗号化は、HTTP、HTTPS、どっちか？,HTTPS：with SSL/TLSプロトコル,S3,ja-JP,ja-JP
S3の保管データの暗号化を４つ,"SSE-S3
SSE-KMS
SSE-C
CSE",S3,ja-JP,ja-JP
S3保管データのデフォルト暗号化（設定を何も変更しない場合の標準設定）は何？, SSE-S3,S3,ja-JP,ja-JP
SSE暗号化方式において、暗号化されるタイミングはいつ？,S3への書き込み時,S3,ja-JP,ja-JP
SSEの３種類の中で、キーを自動ローテーションするものはどれか？,SSE-S3。SSE-KMS.,S3,ja-JP,ja-JP
SSE-S3の、鍵の作成者	暗号化の実施者	鍵の保管者	自動ローテーション有無、を言え,AWS (S3)作成        AWS (S3)暗号化実施      AWS (S3)  鍵の保管      あり (AWSが全自動で実施),S3,ja-JP,ja-JP
SSE-KMSの、鍵の作成者        暗号化の実施者        鍵の保管者        自動ローテーション有無、を言え,ユーザー または AWS作成        AWS (S3)暗号化実施        AWS (KMS)  鍵の保管      あり (ユーザーが設定可能),S3,ja-JP,ja-JP
SSE-Cの、鍵の作成者        暗号化の実施者        鍵の保管者        自動ローテーション有無、を言え,ユーザー作成        AWS (S3)暗号化実施        ユーザー (AWSは保管しない)  鍵の保管      なし (ユーザーが手動で実施),S3,ja-JP,ja-JP
CSEの、鍵の作成者        暗号化の実施者        鍵の保管者        自動ローテーション有無、を言え,ユーザー作成        ユーザー (S3送信前) 暗号化実施       ユーザー 鍵の保管       なし (ユーザーが手動で実施),S3,ja-JP,ja-JP
バケットのバージョニング設定の変更やオブジェクトの完全削除を実行する際、ルートアカウントによる認証とMFA（多要素認証）コードの入力を必須にして、S3バケット毎 のデータを保護（セキュリティ）する機能は何と呼ばれる？ルートユーザのみが、この機能を設定できる。キーワードは、バージョニング（有効化が必須）。偶発的な削除の防止。特権アクセス管理。CLI/API経由の操作,S3 MFA Delete,S3,ja-JP,ja-JP
Write Once、 Read Manyモデルを採用し、指定した期間中または無期限にオブジェクトの削除や上書きを防止する、S3 のデータ保護・コンプライアンス機能は何？キーワードは、WORM。監査のためのログ情報。コンプライアンスモード（ルートユーザーも削除不可）。ガバナンスモード（特定権限者のみ削除可）。リーガルホールド（期間を定めない保持）。バージョニング（有効化が必須）。,オブジェクトロック,S3,ja-JP,ja-JP
S3のバージョニング機能を使用して管理されているオブジェクトに対して、更新・削除を制限する機能です。主にオブジェクトが意図的に改ざん・削除されることを防止する目的で使用します。,S3のオブジェクトロック,S3,ja-JP,ja-JP
 S3の オブジェクトロック 機能における2つの保持モードのうちの一つで、「管理者という『最後の砦』だけは操作できる、安全な金庫」のようなもので、基本的には削除できないが、特別な権限（鍵）を持つ人だけは削除・変更ができる」**という、柔軟性を持たせた保護設定は何モードと呼ぶか？,「ガバナンスモード（Governance Mode）」,S3,ja-JP,ja-JP
 S3の オブジェクトロック 機能における2つの保持モードのうちの一つで、誰にも開けられないタイムカプセルのような保護設定は何モードと呼ぶか？,コンプライアンスモード,S3,ja-JP,ja-JP
ガバナンスモードの保持期間中にロックを解除（またはオブジェクトを削除）できるユーザーを2人あげよ。,"1. 権限を持つ特定のユーザー：IAMユーザー/ロール: ポリシーで s3:BypassGovernanceRetention （Retention＝「保持」「保存期間」）権限を割り当てられた特定の担当者。
2. AWS アカウントのルートユーザー：ルートユーザー: アカウント作成時のメールアドレスでログインする「最強の権限」を持つユーザーは、デフォルトでこのバイパス権限を持っています。",S3,ja-JP,ja-JP
コンプライアンスモードの保持期間中にロックを解除（またはオブジェクトを削除）できるユーザーは誰？,地球上の誰にも不可能,S3,ja-JP,ja-JP
同じ単語が入ります。オブジェクトロックには、保持期間が無期限の「何々？」と、期限付きの「リテンションモード」の2種類があります。権限（s3:PutObjectLegalHold）を持たないユーザーに対して、何々？が解除されるまでオブジェクトを読み取り専用にします。権限を持つユーザーのみオブジェクトの更新・削除と、何々？の解除ができます。,リーガルホールド,S3,ja-JP,ja-JP
同じ単語が入ります。オブジェクトロックには、保持期間が無期限の「リーガルホールド」と、期限付きの「何々？」の2種類があります。何々？モードは保持期間を指定します。更新・削除を制限する対象によって「ガバナンスモード」と「コンプライアンスモード」に分かれており、どちらかを選択します。,リテンションモード：Re-（後ろに / 再び）Tenere（持つ / 保つ）合わせると: 「（離れようとするものを）後ろに引きとめて保持する」という意味になります。現代での使われ方（S3やIT分野）「データ保持期間」,S3,ja-JP,ja-JP
S3のオブジェクトロックの機能のうち、「コンプライアンスモード」ににおいて、保持期間中は誰がコンプライアンスモードを解除できるか？,誰もできない,S3,ja-JP,ja-JP
S3のアクセス管理の代表格２つは何？①誰が（User）**何をできるかを管理するポリシー。②そのバケット（Resource）**に対して誰が何をできるかを管理するポリシー。,"①IAMユーザーポリシー
②バケットポリシー",S3,ja-JP,ja-JP
「1つの大きなバケットを多数のチームで共有しており、バケットポリシーが複雑になりすぎている。管理を簡素化したい。」シーンです。S3 のアクセス管理機能であり、共有バケット内の特定のデータセットに対して、アプリケーションやチームごとに専用のアクセス許可を定義できる、一意のホスト名を持つエンドポイントを何ポイントと呼ぶか？SAA試験キーワードは、大規模な共有バケット。IAMポリシーの簡素化。アクセスポイントポリシー。VPC専用アクセス。エイリアス名。,S3アクセスポイント,S3,ja-JP,ja-JP
