FrontText,BackText,Comment,FrontTextLanguage,BackTextLanguage
いつまでにシステムが復旧するかという目標時間を表す指標。英３文字。を実現、または管理するためのAWSサービス（または機能）は何か？,目標復旧時間（RTO: Recovery Time Objective）,Auto Scaling,ja-JP,ja-JP
システム障害などでデータが損壊した際に、復旧するバックアップデータの古さの目標。英３文字を実現、または管理するためのAWSサービス（または機能）は何か？,目標復旧時点（RPO: Recovery Point Objective）,Auto Scaling,ja-JP,ja-JP
システムを構成する要素のうち、そこが停止するとシステム全体が停止してしまうような、冗長化されていない唯一の箇所のこと。Key：高可用性、冗長化、マルチAZ、疎結合、Auto Scaling、ロードバランサー（ELB）を実現、または管理するためのAWSサービス（または機能）は何か？,単一障害点（SPOF：Single Point of Failure）,Auto Scaling,ja-JP,ja-JP
着信したアプリケーショントラフィックを、複数のターゲット（EC2、コンテナ、IPアドレスなど）に自動的に分散するサービスは何か？,ELB,Auto Scaling,ja-JP,ja-JP
現在利用できるロードバランサーの3タイプは何か？,ALB、NLB、CLB,Auto Scaling,ja-JP,ja-JP
HTTP/HTTPSリクエストのパスやホスト名に基づき、高度なレイヤー7のルーティングを行うロードバランサーは何か？レイヤー7の対応が強化された単一ロードバランサーで、異なるアプリケーションへリクエストをルーティングが可能。KEY：レイヤー7、パスベース、ホストベース、ターゲットグループ、WAF連携,ALB (Application Load Balancer),Auto Scaling,ja-JP,ja-JP
超低遅延で高いスループットを持ち、レイヤー4レベルで数百万のリクエストを処理できるロードバランサーは何か？超低遅延で高スループットを維持しながら秒間何百万リクエストを捌けるように設計された高性能ロードバランサ―。KEY：レイヤー4、TCP/UDP、固定IPアドレス、Elastic IP、超低遅延,NLB (Network Load Balancer),Auto Scaling,ja-JP,ja-JP
複数のEC2インスタンス間で基本的な負荷分散を行う、旧世代のロードバランサーは何か？初期のELBタイプであり、標準的なL4／L７におけるロードバランシングが可能だが、複雑な設定はできない。KEY：レイヤー4および7、旧世代（Legacy）、EC2-Classic、非推奨,CLB (Classic Load Balancer),Auto Scaling,ja-JP,ja-JP
Network Firewall用の特別なロードバランサーで、ファイアーウォールへのルートのトラフィック分散を簡素化するロードバランサ―は何か？KEY：L3、アプライアンス、GENEVEプロトコル、透過的、セキュリティ検査,GLB：Gateway Load Balancer,Auto Scaling,ja-JP,ja-JP
NLBのリクエストに対応できる能力は、毎秒で何回か？を実現、または管理するためのAWSサービス（または機能）は何か？,数百万：数M,Auto Scaling,ja-JP,ja-JP
システム全体を1つの大きなプログラムとして動かすのではなく、「ログイン担当」「注文担当」「画像表示担当」というように、役割（機能）ごとに分けて用意されたサーバー群を何別サーバーと呼ぶか？を実現、または管理するためのAWSサービス（または機能）は何か？,機能別サーバー：「機能別」「URLパス別」「ホスト名別」という要件が出てきたら、迷わず ALB を選択,Auto Scaling,ja-JP,ja-JP
ロードバランシングしたいサーバーとしていくつかの機能別サーバー群を有しています。あなたはソリューションアーキテクトとして機能別にバランシングを実施したいと考えています。選択すべきロードバランサ方式はどれですか？を実現、または管理するためのAWSサービス（または機能）は何か？,ALB,Auto Scaling,ja-JP,ja-JP
